psi,theta,K,h
-0.01,0.40970832,0.22482523,0.01
-0.02,0.4097064,0.21371534,0.02
-0.03,0.40970477,0.205099,0.03
-0.04,0.40970328,0.19785331,0.04
-0.05,0.40970185,0.19153026,0.05
-0.060000000000000005,0.40970045,0.18589148,0.060000000000000005
-0.06999999999999999,0.40969908,0.18078999,0.06999999999999999
-0.08,0.4096977,0.17612647,0.08
-0.09,0.40969634,0.17182946,0.09
-0.09999999999999999,0.40969497,0.16784534,0.09999999999999999
-0.11,0.4096936,0.16413228,0.11
-0.12,0.40969223,0.16065706,0.12
-0.13,0.4096908,0.15739246,0.13
-0.14,0.40968937,0.15431598,0.14
-0.15000000000000002,0.40968794,0.15140873,0.15000000000000002
-0.16,0.4096865,0.14865457,0.16
-0.17,0.40968502,0.14603968,0.17
-0.18000000000000002,0.40968353,0.14355205,0.18000000000000002
-0.19,0.409682,0.14118117,0.19
-0.2,0.4096805,0.13891782,0.2
-0.21000000000000002,0.40967894,0.13675378,0.21000000000000002
-0.22,0.40967736,0.13468182,0.22
-0.23,0.40967578,0.1326954,0.23
-0.24000000000000002,0.40967417,0.13078868,0.24000000000000002
-0.25,0.4096725,0.12895636,0.25
-0.26,0.40967083,0.12719367,0.26
-0.27,0.40966916,0.12549625,0.27
-0.28,0.40966746,0.123860165,0.28
-0.29000000000000004,0.4096657,0.122281775,0.29000000000000004
-0.3,0.40966398,0.12075775,0.3
-0.31,0.4096622,0.11928506,0.31
-0.32,0.40966034,0.11786089,0.32
-0.33,0.4096585,0.11648265,0.33
-0.34,0.4096567,0.11514793,0.34
-0.35000000000000003,0.4096548,0.11385453,0.35000000000000003
-0.36000000000000004,0.4096529,0.11260034,0.36000000000000004
-0.37,0.40965092,0.11138348,0.37
-0.38,0.40964895,0.110202156,0.38
-0.39,0.40964693,0.109054685,0.39
-0.4,0.40964493,0.107939504,0.4
-0.41000000000000003,0.40964288,0.10685516,0.41000000000000003
-0.42000000000000004,0.40964076,0.10580029,0.42000000000000004
-0.43,0.40963864,0.104773596,0.43
-0.44,0.4096365,0.103773884,0.44
-0.45,0.40963435,0.10280001,0.45
-0.46,0.40963215,0.1018509,0.46
-0.47000000000000003,0.40962988,0.10092557,0.47000000000000003
-0.48000000000000004,0.40962762,0.10002303,0.48000000000000004
-0.49,0.40962532,0.099142425,0.49
-0.5,0.40962297,0.098282866,0.5
-0.51,0.40962064,0.09744358,0.51
-0.52,0.40961826,0.096623786,0.52
-0.53,0.4096158,0.09582277,0.53
-0.54,0.40961334,0.09503983,0.54
-0.55,0.40961084,0.09427434,0.55
-0.56,0.4096083,0.09352568,0.56
-0.5700000000000001,0.40960574,0.09279323,0.5700000000000001
-0.5800000000000001,0.40960318,0.09207647,0.5800000000000001
-0.59,0.40960056,0.09137485,0.59
-0.6,0.40959784,0.090687834,0.6
-0.61,0.40959513,0.09001499,0.61
-0.62,0.4095924,0.08935581,0.62
-0.63,0.40958962,0.08870987,0.63
-0.64,0.40958682,0.08807675,0.64
-0.65,0.409584,0.087456055,0.65
-0.66,0.4095811,0.08684737,0.66
-0.67,0.4095782,0.08625035,0.67
-0.68,0.40957522,0.08566462,0.68
-0.6900000000000001,0.40957224,0.08508986,0.6900000000000001
-0.7000000000000001,0.40956923,0.084525734,0.7000000000000001
-0.7100000000000001,0.40956616,0.08397193,0.7100000000000001
-0.72,0.40956306,0.08342815,0.72
-0.73,0.40955994,0.08289411,0.73
-0.74,0.40955675,0.08236953,0.74
-0.75,0.4095536,0.081854135,0.75
-0.76,0.40955034,0.08134769,0.76
-0.77,0.40954703,0.08084993,0.77
-0.78,0.40954372,0.08036063,0.78
-0.79,0.4095404,0.079879545,0.79
-0.8,0.409537,0.079406485,0.8
-0.81,0.40953356,0.07894122,0.81
