psi,theta,K,h
-1.3800000000000001,0.40939146,0.007168318,1.3800000000000001
-1.3900000000000001,0.40938628,0.0071147135,1.3900000000000001
-1.4000000000000001,0.4093811,0.007062023,1.4000000000000001
-1.4100000000000001,0.40937585,0.00701027,1.4100000000000001
-1.42,0.40937063,0.0069593852,1.42
-1.43,0.40936536,0.006909391,1.43
-1.44,0.40936005,0.006860226,1.44
-1.45,0.40935475,0.006811898,1.45
-1.46,0.40934944,0.0067643914,1.46
-1.47,0.40934408,0.006717644,1.47
-1.48,0.40933868,0.0066716718,1.48
-1.49,0.4093333,0.006626451,1.49
-1.5,0.40932786,0.006581966,1.5
-1.51,0.4093224,0.0065382095,1.51
-1.52,0.40931696,0.0064951354,1.52
-1.53,0.40931144,0.0064527504,1.53
-1.54,0.40930596,0.006411024,1.54
-1.55,0.4093004,0.006369949,1.55
-1.56,0.40929487,0.0063295322,1.56
-1.57,0.4092893,0.006289712,1.57
-1.58,0.4092837,0.0062505193,1.58
-1.59,0.40927804,0.0062119006,1.59
-1.6,0.40927243,0.006173878,1.6
-1.61,0.40926677,0.006136429,1.61
-1.62,0.40926108,0.0060995226,1.62
-1.6300000000000001,0.4092554,0.0060631814,1.6300000000000001
-1.6400000000000001,0.40924966,0.0060273595,1.6400000000000001
-1.6500000000000001,0.40924394,0.0059920726,1.6500000000000001
-1.6600000000000001,0.40923816,0.005957266,1.6600000000000001
-1.6700000000000002,0.40923238,0.0059230016,1.6700000000000002
-1.68,0.40922657,0.00588921,1.68
-1.69,0.40922076,0.005855891,1.69
-1.7,0.40921488,0.0058230446,1.7
-1.71,0.40920904,0.0057906476,1.71
-1.72,0.40920314,0.005758739,1.72
-1.73,0.40919727,0.0057272254,1.73
-1.74,0.4091913,0.005696169,1.74
-1.75,0.4091854,0.005665523,1.75
-1.76,0.40917945,0.0056353034,1.76
-1.77,0.40917343,0.0056054946,1.77
-1.78,0.40916747,0.005576089,1.78
-1.79,0.40916142,0.0055470704,1.79
-1.8,0.40915537,0.0055184313,1.8
-1.81,0.40914935,0.005490172,1.81
-1.82,0.40914327,0.005462277,1.82
-1.83,0.40913716,0.005434739,1.83
-1.84,0.40913105,0.0054075643,1.84
-1.85,0.4091249,0.005380739,1.85
-1.86,0.40911877,0.005354254,1.86
-1.87,0.4091126,0.0053281104,1.87
-1.8800000000000001,0.40910643,0.005302292,1.8800000000000001
-1.8900000000000001,0.40910023,0.005276799,1.8900000000000001
-1.9000000000000001,0.409094,0.0052516162,1.9000000000000001
-1.9100000000000001,0.40908775,0.0052267583,1.9100000000000001
-1.9200000000000002,0.40908152,0.0052021956,1.9200000000000002
-1.93,0.40907526,0.0051779347,1.93
-1.94,0.40906894,0.005153984,1.94
-1.95,0.40906265,0.005130296,1.95
-1.96,0.4090563,0.0051069185,1.96
-1.97,0.40905,0.0050838124,1.97
-1.98,0.4090436,0.0050609694,1.98
-1.99,0.40903723,0.005038398,1.99
-2.0,0.40903085,0.005016105,2.0
-2.01,0.40902448,0.004994068,2.01
-2.02,0.40901804,0.0049722944,2.02
-2.03,0.40901157,0.004950769,2.03
-2.04,0.4090051,0.004929468,2.04
-2.05,0.40899864,0.0049084383,2.05
-2.0599999999999996,0.40899217,0.004887641,2.0599999999999996
-2.07,0.40898567,0.004867076,2.07
-2.0799999999999996,0.40897912,0.0048467517,2.0799999999999996
-2.09,0.40897262,0.004826644,2.09
-2.0999999999999996,0.40896606,0.004806761,2.0999999999999996
-2.11,0.40895948,0.0047871107,2.11
-2.1199999999999997,0.4089529,0.004767654,2.1199999999999997
-2.13,0.40894628,0.0047484217,2.13
-2.1399999999999997,0.40893966,0.004729391,2.1399999999999997
-2.15,0.40893304,0.0047105853,2.15
-2.1599999999999997,0.4089264,0.0046919733,2.1599999999999997
-2.17,0.40891972,0.0046735625,2.17
-2.1799999999999997,0.40891308,0.004655338,2.1799999999999997
-2.19,0.40890634,0.0046373145,2.19
-2.1999999999999997,0.40889966,0.004619485,2.1999999999999997
-2.21,0.40889293,0.0046018413,2.21
-2.2199999999999998,0.4088862,0.0045843837,2.2199999999999998
-2.23,0.40887946,0.0045671123,2.23
-2.2399999999999998,0.40887266,0.0045500034,2.2399999999999998
-2.25,0.40886593,0.004533088,2.25
-2.26,0.40885907,0.004516351,2.26
-2.27,0.40885228,0.004499769,2.27
-2.28,0.40884548,0.0044833496,2.28
-2.29,0.40883863,0.0044671088,2.29
-2.3,0.40883178,0.0044510225,2.3
-2.31,0.40882492,0.004435107,2.31
-2.32,0.40881807,0.0044193384,2.32
-2.3299999999999996,0.40881115,0.0044037327,2.3299999999999996
-2.34,0.40880427,0.0043882974,2.34
-2.3499999999999996,0.40879732,0.0043729865,2.3499999999999996
-2.36,0.4087904,0.00435783,2.36
-2.3699999999999997,0.40878344,0.004342829,2.3699999999999997
-2.38,0.40877652,0.004327967,2.38
-2.3899999999999997,0.40876952,0.0043132524,2.3899999999999997
-2.4,0.4087625,0.004298677,2.4
-2.4099999999999997,0.40875554,0.0042842496,2.4099999999999997
-2.42,0.40874854,0.0042699534,2.42
-2.4299999999999997,0.40874153,0.004255781,2.4299999999999997
-2.44,0.40873444,0.0042417715,2.44
-2.4499999999999997,0.40872744,0.0042278706,2.4499999999999997
-2.46,0.40872037,0.0042141015,2.46
-2.4699999999999998,0.40871328,0.004200456,2.4699999999999998
-2.48,0.4087062,0.004186935,2.48
-2.4899999999999998,0.4086991,0.0041735526,2.4899999999999998
-2.5,0.40869197,0.004160272,2.5
-2.51,0.40868485,0.00414713,2.51
-2.52,0.40867773,0.0041341046,2.52
-2.53,0.40867054,0.004121211,2.53
-2.54,0.40866342,0.0041084024,2.54
-2.55,0.40865624,0.0040957183,2.55
-2.56,0.40864906,0.0040831575,2.56
-2.57,0.40864187,0.004070698,2.57
-2.5799999999999996,0.40863463,0.0040583466,2.5799999999999996
-2.59,0.40862745,0.0040461193,2.59
-2.5999999999999996,0.40862018,0.0040339925,2.5999999999999996
-2.61,0.40861297,0.004021967,2.61
-2.6199999999999997,0.4086057,0.004010057,2.6199999999999997
-2.63,0.40859842,0.0039982405,2.63
-2.6399999999999997,0.40859115,0.003986525,2.6399999999999997
-2.65,0.40858388,0.0039749173,2.65
-2.6599999999999997,0.40857655,0.0039633797,2.6599999999999997
-2.67,0.40856925,0.0039519817,2.67
