Stage,Epoch,Theta Loss,Grad Loss,Total Loss
Adam,0,0.011809207,0.6247997,12.152601
Adam,100,0.008292947,0.02457479,4.3922215
Adam,200,0.005575962,0.009774845,2.8857296
Adam,300,0.0048917155,0.0044908035,2.4907658
Adam,400,0.0048958748,0.0028823868,2.4767613
Adam,500,0.0048954254,0.0020838573,2.4685512
Adam,600,0.0048909197,0.0016321485,2.4617813
Adam,700,0.0048809233,0.0013674244,2.454136
Adam,800,0.004858386,0.0012459399,2.4416523
Adam,900,0.0046778205,0.0017646911,2.3565574
Adam,1000,0.0014808677,0.0006753504,0.7471874
Adam,1100,0.00014462811,0.00052592193,0.07757327
Adam,1200,5.480965e-05,0.00061399053,0.03354473
Adam,1300,2.4793722e-05,0.00055392884,0.01793615
Adam,1400,1.2937941e-05,0.0004665885,0.011134855
Adam,1500,8.245323e-06,0.00038910963,0.008013758
Adam,1600,6.2856216e-06,0.00032638368,0.0064066476
Adam,1700,5.3016224e-06,0.00027650833,0.005415894
Adam,1800,4.6548876e-06,0.0002368418,0.0046958616
Adam,1900,4.1387316e-06,0.0002051342,0.0041207075
Adam,2000,3.6930944e-06,0.00017952193,0.0036417665
Adam,2100,3.3004521e-06,0.00015848804,0.0032351064
Adam,2200,2.9535029e-06,0.00014092185,0.0028859698
Adam,2300,2.646327e-06,0.00012604149,0.0025835782
Adam,2400,2.3726407e-06,0.00011330444,0.0023193648
Adam,2500,2.1261908e-06,0.000102310376,0.0020861991
Adam,2600,1.9015099e-06,9.275566e-05,0.0018783116
Adam,2700,1.6945086e-06,8.439969e-05,0.0016912512
Adam,2800,1.5026181e-06,7.705156e-05,0.0015218247
Adam,2900,1.3245859e-06,7.0547714e-05,0.0013677701
Adam,3000,1.1600121e-06,6.476014e-05,0.0012276075
Adam,3100,1.0089699e-06,5.9579837e-05,0.0011002833
Adam,3200,8.7169064e-07,5.4919383e-05,0.0009850392
Adam,3300,7.4838493e-07,5.0704202e-05,0.00088123453
Adam,3400,6.3910096e-07,4.6874415e-05,0.0007882946
Adam,3500,5.437047e-07,4.338069e-05,0.0007056592
Adam,3600,4.6180975e-07,4.0179682e-05,0.0006327017
Adam,3700,3.9277623e-07,3.72392e-05,0.0005687801
Adam,3800,3.3572536e-07,3.4532346e-05,0.00051318615
Adam,3900,2.8952203e-07,3.203545e-05,0.00046511547
Adam,4000,2.5286826e-07,2.9728682e-05,0.00042372098
Adam,4100,2.2447131e-07,2.7598864e-05,0.00038822432
Adam,4200,2.028325e-07,2.5631218e-05,0.00035772842
Adam,4300,1.8676504e-07,2.3819117e-05,0.00033157368
Adam,4400,1.7514824e-07,2.2152857e-05,0.0003091027
