Stage,Epoch,Theta Loss,Grad Loss,Total Loss
Adam,0,0.021724101,0.6247997,17.110048
Adam,100,0.014403831,0.025504502,7.4569607
Adam,200,0.0041291635,0.011299294,2.1775746
Adam,300,0.0018543773,0.0038195313,0.965384
Adam,400,0.0018576668,0.0025420308,0.9542537
Adam,500,0.0018596727,0.0018274541,0.9481109
Adam,600,0.0018607286,0.0013880774,0.9442451
Adam,700,0.0018610455,0.001099721,0.94152
Adam,800,0.0018606989,0.0009016378,0.93936586
Adam,900,0.0018596663,0.0007612906,0.93744606
Adam,1000,0.0018578214,0.0006602327,0.935513
Adam,1100,0.0018548733,0.0005880572,0.93331724
Adam,1200,0.0018475037,0.0005631594,0.9293834
Adam,1300,0.0017694264,0.00076173316,0.8923305
Adam,1400,0.0011255377,0.00070655596,0.56983435
Adam,1500,0.00017056624,0.00047630307,0.09004615
Adam,1600,6.106424e-05,0.00050903246,0.035622444
Adam,1700,2.5896417e-05,0.00044268236,0.017375031
Adam,1800,1.0823314e-05,0.00035568548,0.008968512
Adam,1900,4.691177e-06,0.0002853878,0.0051994664
Adam,2000,2.3689906e-06,0.0002321886,0.003506381
Adam,2100,1.5070663e-06,0.00019170187,0.0026705519
Adam,2200,1.1542274e-06,0.0001604811,0.0021819246
Adam,2300,9.738604e-07,0.00013618627,0.0018487929
Adam,2400,8.5806005e-07,0.00011709798,0.0016000099
Adam,2500,7.718889e-07,0.00010188187,0.0014047632
Adam,2600,7.0233165e-07,8.9529014e-05,0.001246456
Adam,2700,6.4342686e-07,7.931912e-05,0.0011149046
Adam,2800,5.9188767e-07,7.0745846e-05,0.0010034023
Adam,2900,5.456701e-07,6.345615e-05,0.00090739655
Adam,3000,5.034586e-07,5.7189944e-05,0.00082362874
Adam,3100,4.6438944e-07,5.1754945e-05,0.0007497442
Adam,3200,4.2791498e-07,4.7006837e-05,0.0006840259
Adam,3300,3.936813e-07,4.2829146e-05,0.0006251321
Adam,3400,3.6147335e-07,3.91321e-05,0.0005720577
Adam,3500,3.3115737e-07,3.5843914e-05,0.00052401784
Adam,3600,3.0264445e-07,3.2904754e-05,0.00048036978
Adam,3700,2.7587745e-07,3.0266998e-05,0.0004406087
Adam,3800,2.5081897e-07,2.789152e-05,0.00040432467
Adam,3900,2.274366e-07,2.5744494e-05,0.00037116325
Adam,4000,2.0570583e-07,2.3798555e-05,0.00034083845
Adam,4100,1.855951e-07,2.2029675e-05,0.0003130943
Adam,4200,1.6707902e-07,2.0418956e-05,0.00028772908
Adam,4300,1.501186e-07,1.8948032e-05,0.00026453962
Adam,4400,1.346721e-07,1.7602517e-05,0.00024336122
Adam,4500,1.2068928e-07,1.6369795e-05,0.0002240426
Adam,4600,1.081103e-07,1.5238259e-05,0.00020643775
Adam,4700,9.686747e-08,1.4198294e-05,0.00019041667
Adam,4800,8.688366e-08,1.3240929e-05,0.00017585112
Adam,4900,7.8076134e-08,1.2358485e-05,0.00016262292
L-BFGS-B,1,7.0424434e-08,1.1551911e-05,0.00015073133
L-BFGS-B,2,0.0032645923,3.993195e-06,1.632336
L-BFGS-B,3,7.0509834e-08,1.1526312e-05,0.00015051803
L-BFGS-B,4,7.0181045e-08,1.1502943e-05,0.00015011996
L-BFGS-B,5,6.934465e-08,1.1410384e-05,0.00014877616
L-BFGS-B,6,6.806684e-08,1.089153e-05,0.00014294872
L-BFGS-B,7,6.8709525e-08,1.0004541e-05,0.00013440016
L-BFGS-B,8,6.9904914e-08,8.657354e-06,0.00012152599
L-BFGS-B,9,6.739315e-08,7.1175177e-06,0.00010487175
L-BFGS-B,10,5.7854617e-08,5.302462e-06,8.195193e-05
L-BFGS-B,11,3.9317662e-08,4.231405e-06,6.197288e-05
L-BFGS-B,12,3.2035807e-08,3.9816855e-06,5.583476e-05
L-BFGS-B,13,4.027339e-08,3.5102125e-06,5.5238823e-05
L-BFGS-B,14,3.433989e-08,3.7261552e-06,5.4431497e-05
L-BFGS-B,15,3.4532604e-08,3.6513272e-06,5.3779575e-05
L-BFGS-B,16,3.5155498e-08,3.5536048e-06,5.3113796e-05
L-BFGS-B,17,3.71407e-08,3.3692404e-06,5.2262756e-05
L-BFGS-B,18,3.9303696e-08,3.0885626e-06,5.0537474e-05
L-BFGS-B,19,4.082778e-08,2.8434654e-06,4.8848542e-05
L-BFGS-B,20,4.4874554e-08,2.5778286e-06,4.821556e-05
L-BFGS-B,21,4.3611102e-08,2.566948e-06,4.7475034e-05
L-BFGS-B,22,4.3015984e-08,2.5311388e-06,4.681938e-05
L-BFGS-B,23,4.0590162e-08,2.505515e-06,4.5350233e-05
L-BFGS-B,24,3.639946e-08,2.586885e-06,4.406858e-05
L-BFGS-B,25,2.9537077e-08,2.8660763e-06,4.3429303e-05
L-BFGS-B,26,3.2053702e-08,2.7014707e-06,4.3041557e-05
L-BFGS-B,27,3.096327e-08,2.7486133e-06,4.2967768e-05
