psi,theta
-0.01,0.4296616
-0.02,0.42966086
-0.03,0.42966002
-0.04,0.42965907
-0.05,0.4296581
-0.060000000000000005,0.42965695
-0.06999999999999999,0.42965573
-0.08,0.42965442
-0.09,0.4296531
-0.09999999999999999,0.42965168
-0.11,0.42965016
-0.12,0.42964858
-0.13,0.42964694
-0.14,0.42964518
-0.15000000000000002,0.42964345
-0.16,0.42964157
-0.17,0.42963967
-0.18000000000000002,0.42963767
-0.19,0.42963564
-0.2,0.4296335
-0.21000000000000002,0.42963135
-0.22,0.4296291
-0.23,0.42962676
-0.24000000000000002,0.42962444
-0.25,0.429622
-0.26,0.42961943
-0.27,0.42961687
-0.28,0.42961425
-0.29000000000000004,0.42961156
-0.3,0.4296088
-0.31,0.42960596
-0.32,0.42960304
-0.33,0.42960006
-0.34,0.42959708
-0.35000000000000003,0.42959392
-0.36000000000000004,0.42959076
-0.37,0.4295875
-0.38,0.4295842
-0.39,0.42958084
-0.4,0.42957735
-0.41000000000000003,0.42957383
-0.42000000000000004,0.42957026
-0.43,0.42956656
-0.44,0.42956287
-0.45,0.429559
-0.46,0.42955518
-0.47000000000000003,0.42955124
-0.48000000000000004,0.42954716
-0.49,0.42954308
-0.5,0.42953885
-0.51,0.4295346
-0.52,0.42953026
-0.53,0.42952585
-0.54,0.42952138
-0.55,0.4295168
-0.56,0.42951214
-0.5700000000000001,0.42950743
-0.5800000000000001,0.42950264
-0.59,0.42949775
-0.6,0.42949283
-0.61,0.42948774
-0.62,0.42948264
-0.63,0.4294774
-0.64,0.4294721
-0.65,0.42946675
-0.66,0.4294613
-0.67,0.42945576
-0.68,0.42945012
-0.6900000000000001,0.4294444
-0.7000000000000001,0.42943865
-0.7100000000000001,0.42943278
-0.72,0.4294268
-0.73,0.42942074
-0.74,0.42941463
-0.75,0.42940837
-0.76,0.42940208
-0.77,0.42939568
-0.78,0.4293892
-0.79,0.42938265
-0.8,0.42937598
-0.81,0.4293692
-0.8200000000000001,0.4293624
-0.8300000000000001,0.42935547
-0.8400000000000001,0.42934847
-0.85,0.42934138
-0.86,0.42933416
-0.87,0.4293269
-0.88,0.4293195
-0.89,0.42931205
-0.9,0.42930448
-0.91,0.42929685
-0.92,0.4292891
-0.93,0.4292813
-0.9400000000000001,0.42927337
-0.9500000000000001,0.42926535
-0.9600000000000001,0.42925724
-0.97,0.42924908
-0.98,0.42924076
-0.99,0.42923242
-1.0,0.42922395
-1.01,0.4292154
-1.02,0.42920676
-1.03,0.42919797
-1.04,0.42918918
-1.05,0.42918026
-1.06,0.42917123
-1.07,0.42916214
-1.08,0.42915297
-1.09,0.42914367
-1.1,0.42913425
-1.11,0.42912483
-1.12,0.4291153
-1.1300000000000001,0.42910564
-1.1400000000000001,0.4290959
-1.1500000000000001,0.4290861
-1.1600000000000001,0.42907614
-1.17,0.42906612
-1.18,0.42905602
-1.19,0.42904583
-1.2,0.42903557
-1.21,0.42902523
-1.22,0.42901474
-1.23,0.4290042
-1.24,0.42899358
-1.25,0.42898285
-1.26,0.42897204
-1.27,0.42896116
-1.28,0.42895016
-1.29,0.4289391
-1.3,0.42892796
-1.31,0.42891675
-1.32,0.42890543
-1.33,0.42889398
-1.34,0.42888248
-1.35,0.42887092
-1.36,0.42885923
-1.37,0.42884752
-1.3800000000000001,0.4288357
-1.3900000000000001,0.42882377
-1.4000000000000001,0.4288118
-1.4100000000000001,0.4287997
-1.42,0.42878753
-1.43,0.42877528
-1.44,0.42876297
-1.45,0.42875057
-1.46,0.4287381
-1.47,0.42872554
-1.48,0.42871284
-1.49,0.42870015
-1.5,0.42868733
-1.51,0.4286745
-1.52,0.42866153
-1.53,0.4286485
-1.54,0.42863536
-1.55,0.42862222
-1.56,0.42860895
-1.57,0.42859563
-1.58,0.4285822
-1.59,0.42856875
-1.6,0.4285552
-1.61,0.42854154
-1.62,0.42852786
-1.6300000000000001,0.42851406
-1.6400000000000001,0.42850026
-1.6500000000000001,0.42848635
-1.6600000000000001,0.42847234
-1.6700000000000002,0.4284583
-1.68,0.42844415
-1.69,0.42842996
-1.7,0.42841572
