psi,theta
-0.01,0.4097601
-0.02,0.40975815
-0.03,0.40975595
-0.04,0.40975353
-0.05,0.409751
-0.060000000000000005,0.40974823
-0.06999999999999999,0.4097453
-0.08,0.40974227
-0.09,0.40973908
-0.09999999999999999,0.40973574
-0.11,0.40973222
-0.12,0.40972862
-0.13,0.40972486
-0.14,0.40972096
-0.15000000000000002,0.40971696
-0.16,0.4097128
-0.17,0.40970853
-0.18000000000000002,0.40970412
-0.19,0.4096996
-0.2,0.4096949
-0.21000000000000002,0.40969014
-0.22,0.40968522
-0.23,0.40968013
-0.24000000000000002,0.409675
-0.25,0.40966964
-0.26,0.4096642
-0.27,0.40965867
-0.28,0.40965295
-0.29000000000000004,0.4096471
-0.3,0.4096411
-0.31,0.40963495
-0.32,0.40962875
-0.33,0.4096223
-0.34,0.40961576
-0.35000000000000003,0.40960908
-0.36000000000000004,0.40960222
-0.37,0.4095953
-0.38,0.40958816
-0.39,0.4095809
-0.4,0.40957347
-0.41000000000000003,0.40956593
-0.42000000000000004,0.40955818
-0.43,0.40955028
-0.44,0.4095422
-0.45,0.40953404
-0.46,0.4095257
-0.47000000000000003,0.40951717
-0.48000000000000004,0.40950847
-0.49,0.40949965
-0.5,0.40949064
-0.51,0.4094814
-0.52,0.40947205
-0.53,0.40946254
-0.54,0.40945283
-0.55,0.4094429
-0.56,0.40943283
-0.5700000000000001,0.4094226
-0.5800000000000001,0.4094122
-0.59,0.4094016
-0.6,0.4093908
-0.61,0.40937978
-0.62,0.40936857
-0.63,0.40935725
-0.64,0.40934572
-0.65,0.40933394
-0.66,0.40932196
-0.67,0.40930983
-0.68,0.4092975
-0.6900000000000001,0.40928495
-0.7000000000000001,0.4092722
-0.7100000000000001,0.4092592
-0.72,0.40924603
-0.73,0.40923268
-0.74,0.40921906
-0.75,0.40920526
-0.76,0.40919125
-0.77,0.409177
-0.78,0.40916255
-0.79,0.40914786
-0.8,0.409133
-0.81,0.40911788
-0.8200000000000001,0.40910253
-0.8300000000000001,0.40908697
-0.8400000000000001,0.4090712
-0.85,0.40905517
-0.86,0.4090389
-0.87,0.40902245
-0.88,0.4090057
-0.89,0.40898874
-0.9,0.40897158
-0.91,0.4089541
-0.92,0.40893644
-0.93,0.40891856
-0.9400000000000001,0.40890044
-0.9500000000000001,0.40888205
-0.9600000000000001,0.4088634
-0.97,0.40884453
-0.98,0.4088254
-0.99,0.4088061
-1.0,0.40878648
-1.01,0.4087666
-1.02,0.4087465
-1.03,0.40872616
-1.04,0.40870553
-1.05,0.40868467
-1.06,0.40866357
-1.07,0.40864223
-1.08,0.4086206
-1.09,0.40859872
-1.1,0.4085766
-1.11,0.4085542
-1.12,0.40853158
-1.1300000000000001,0.40850866
-1.1400000000000001,0.40848556
-1.1500000000000001,0.4084621
-1.1600000000000001,0.40843844
-1.17,0.40841454
-1.18,0.40839034
-1.19,0.40836596
-1.2,0.40834126
-1.21,0.40831628
-1.22,0.4082911
-1.23,0.4082656
-1.24,0.40823987
-1.25,0.40821388
-1.26,0.40818766
-1.27,0.40816116
-1.28,0.40813437
-1.29,0.40810737
-1.3,0.4080801
-1.31,0.40805256
-1.32,0.4080248
-1.33,0.4079967
-1.34,0.4079684
-1.35,0.40793985
-1.36,0.40791106
-1.37,0.40788198
-1.3800000000000001,0.40785265
-1.3900000000000001,0.4078231
-1.4000000000000001,0.40779325
-1.4100000000000001,0.40776315
-1.42,0.40773284
-1.43,0.40770227
-1.44,0.40767142
-1.45,0.40764034
-1.46,0.407609
-1.47,0.40757743
-1.48,0.4075456
-1.49,0.40751353
-1.5,0.40748122
-1.51,0.40744865
-1.52,0.40741587
-1.53,0.40738282
-1.54,0.40734953
-1.55,0.40731603
-1.56,0.40728226
-1.57,0.40724826
-1.58,0.40721405
-1.59,0.4071796
-1.6,0.40714484
-1.61,0.40710995
-1.62,0.40707478
-1.6300000000000001,0.40703937
-1.6400000000000001,0.40700376
-1.6500000000000001,0.40696794
-1.6600000000000001,0.40693188
-1.6700000000000002,0.40689555
-1.68,0.40685904
-1.69,0.40682232
-1.7,0.40678534
-1.71,0.40674818
-1.72,0.40671077
-1.73,0.40667316
-1.74,0.40663534
-1.75,0.4065973
-1.76,0.40655905
-1.77,0.4065206
-1.78,0.40648195
-1.79,0.40644306
-1.8,0.406404
-1.81,0.40636474
-1.82,0.40632522
-1.83,0.40628552
-1.84,0.40624568
-1.85,0.4062056
-1.86,0.40616536
-1.87,0.40612483
-1.8800000000000001,0.40608418
-1.8900000000000001,0.40604335
-1.9000000000000001,0.40600228
-1.9100000000000001,0.40596104
-1.9200000000000002,0.40591964
-1.93,0.40587804
-1.94,0.40583628
-1.95,0.40579426
-1.96,0.40575215
-1.97,0.4057098
-1.98,0.4056673
-1.99,0.4056246
-2.0,0.40558177
-2.01,0.40553874
-2.02,0.40549552
-2.03,0.40545213
-2.04,0.4054086
-2.05,0.40536487
-2.0599999999999996,0.405321
-2.07,0.40527692
-2.0799999999999996,0.40523276
-2.09,0.40518838
-2.0999999999999996,0.4051438
-2.11,0.40509915
-2.1199999999999997,0.40505427
-2.13,0.40500927
-2.1399999999999997,0.40496412
-2.15,0.4049188
-2.1599999999999997,0.4048733
-2.17,0.40482765
-2.1799999999999997,0.40478188
-2.19,0.40473598
-2.1999999999999997,0.4046899
-2.21,0.40464365
-2.2199999999999998,0.4045973
-2.23,0.4045508
