psi,theta
-0.01,0.4295689
-0.02,0.42956692
-0.03,0.42956495
-0.04,0.42956293
-0.05,0.4295609
-0.060000000000000005,0.42955878
-0.06999999999999999,0.4295566
-0.08,0.4295544
-0.09,0.42955217
-0.09999999999999999,0.42954987
-0.11,0.42954755
-0.12,0.42954516
-0.13,0.42954272
-0.14,0.42954028
-0.15000000000000002,0.42953774
-0.16,0.42953515
-0.17,0.4295326
-0.18000000000000002,0.4295299
-0.19,0.42952722
-0.2,0.42952442
-0.21000000000000002,0.42952162
-0.22,0.42951876
-0.23,0.42951587
-0.24000000000000002,0.42951292
-0.25,0.42950994
-0.26,0.42950687
-0.27,0.4295038
-0.28,0.42950064
-0.29000000000000004,0.42949742
-0.3,0.4294942
-0.31,0.42949086
-0.32,0.42948753
-0.33,0.42948413
-0.34,0.42948067
-0.35000000000000003,0.42947719
-0.36000000000000004,0.42947358
-0.37,0.42946997
-0.38,0.4294663
-0.39,0.42946258
-0.4,0.4294588
-0.41000000000000003,0.42945498
-0.42000000000000004,0.42945108
-0.43,0.42944714
-0.44,0.42944312
-0.45,0.42943907
-0.46,0.42943496
-0.47000000000000003,0.42943078
-0.48000000000000004,0.42942655
-0.49,0.42942223
-0.5,0.4294179
-0.51,0.4294135
-0.52,0.42940903
-0.53,0.42940453
-0.54,0.4293999
-0.55,0.4293953
-0.56,0.42939055
-0.5700000000000001,0.4293858
-0.5800000000000001,0.42938095
-0.59,0.4293761
-0.6,0.42937112
-0.61,0.4293661
-0.62,0.42936105
-0.63,0.42935592
-0.64,0.42935067
-0.65,0.42934543
-0.66,0.42934012
-0.67,0.42933473
-0.68,0.42932928
-0.6900000000000001,0.42932373
-0.7000000000000001,0.42931813
-0.7100000000000001,0.42931247
-0.72,0.42930675
-0.73,0.42930096
-0.74,0.42929512
-0.75,0.42928922
-0.76,0.4292832
-0.77,0.42927718
-0.78,0.42927104
-0.79,0.42926484
-0.8,0.42925858
-0.81,0.42925227
-0.8200000000000001,0.42924586
-0.8300000000000001,0.4292394
-0.8400000000000001,0.42923287
-0.85,0.42922628
-0.86,0.4292196
-0.87,0.42921287
-0.88,0.42920604
