psi,theta,K,h
-0.01,0.40954655,0.21825744,0.01
-0.02,0.4095455,0.20544086,0.02
-0.03,0.40954474,0.19567165,0.03
-0.04,0.40954405,0.18758033,0.04
-0.05,0.40954342,0.18061441,0.05
-0.060000000000000005,0.40954283,0.1744779,0.060000000000000005
-0.06999999999999999,0.40954226,0.16898765,0.06999999999999999
-0.08,0.40954173,0.16401978,0.08
-0.09,0.4095412,0.15948533,0.09
-0.09999999999999999,0.40954065,0.15531757,0.09999999999999999
-0.11,0.40954012,0.15146491,0.11
-0.12,0.40953958,0.14788625,0.12
-0.13,0.40953904,0.14454833,0.13
-0.14,0.4095385,0.1414237,0.14
-0.15000000000000002,0.40953797,0.13848944,0.15000000000000002
-0.16,0.40953743,0.13572617,0.16
-0.17,0.4095369,0.13311729,0.17
-0.18000000000000002,0.40953636,0.13064852,0.18000000000000002
-0.19,0.4095358,0.12830746,0.19
-0.2,0.40953523,0.12608324,0.2
-0.21000000000000002,0.40953466,0.123966336,0.21000000000000002
-0.22,0.4095341,0.12194825,0.22
-0.23,0.4095335,0.12002149,0.23
-0.24000000000000002,0.4095329,0.118179336,0.24000000000000002
-0.25,0.4095323,0.11641576,0.25
-0.26,0.40953168,0.11472534,0.26
-0.27,0.40953106,0.11310316,0.27
-0.28,0.40953046,0.11154479,0.28
-0.29000000000000004,0.4095298,0.11004616,0.29000000000000004
-0.3,0.40952915,0.108603604,0.3
-0.31,0.4095285,0.10721376,0.31
-0.32,0.40952778,0.105873495,0.32
-0.33,0.40952712,0.10458001,0.33
-0.34,0.4095264,0.103330664,0.34
-0.35000000000000003,0.40952566,0.10212306,0.35000000000000003
-0.36000000000000004,0.40952492,0.10095495,0.36000000000000004
-0.37,0.40952414,0.099824294,0.37
-0.38,0.4095234,0.09872914,0.38
-0.39,0.40952262,0.09766774,0.39
-0.4,0.40952185,0.0966384,0.4
-0.41000000000000003,0.40952098,0.09563959,0.41000000000000003
-0.42000000000000004,0.40952018,0.09466988,0.42000000000000004
-0.43,0.4095193,0.09372789,0.43
-0.44,0.40951845,0.09281237,0.44
-0.45,0.40951753,0.09192215,0.45
-0.46,0.40951666,0.0910561,0.46
-0.47000000000000003,0.40951574,0.09021318,0.47000000000000003
-0.48000000000000004,0.40951478,0.0893924,0.48000000000000004
-0.49,0.40951383,0.088592835,0.49
-0.5,0.40951285,0.08781362,0.5
-0.51,0.40951186,0.08705395,0.51
-0.52,0.4095108,0.086313,0.52
-0.53,0.40950978,0.08559008,0.53
-0.54,0.40950868,0.08488446,0.54
-0.55,0.40950757,0.08419549,0.55
-0.56,0.40950644,0.08352257,0.56
-0.5700000000000001,0.4095053,0.08286507,0.5700000000000001
-0.5800000000000001,0.40950412,0.08222246,0.5800000000000001
-0.59,0.40950295,0.081594184,0.59
-0.6,0.4095017,0.08097974,0.6
-0.61,0.40950048,0.080378644,0.61
-0.62,0.40949923,0.079790436,0.62
-0.63,0.40949792,0.079214685,0.63
-0.64,0.40949655,0.07865097,0.64
-0.65,0.40949523,0.07809887,0.65
-0.66,0.40949383,0.07755803,0.66
-0.67,0.40949243,0.07702807,0.67
-0.68,0.40949097,0.076508656,0.68
-0.6900000000000001,0.4094895,0.07599945,0.6900000000000001
-0.7000000000000001,0.40948802,0.07550013,0.7000000000000001
-0.7100000000000001,0.40948647,0.075010404,0.7100000000000001
-0.72,0.4094849,0.074529946,0.72
-0.73,0.4094833,0.07405851,0.73
-0.74,0.40948164,0.073595814,0.74
-0.75,0.40948,0.07314163,0.75
-0.76,0.4094783,0.07269565,0.76
-0.77,0.40947658,0.07225768,0.77
-0.78,0.40947482,0.07182749,0.78
-0.79,0.40947303,0.07140485,0.79
-0.8,0.4094712,0.07098957,0.8
-0.81,0.40946937,0.07058143,0.81
-0.8200000000000001,0.40946743,0.070180215,0.8200000000000001
-0.8300000000000001,0.40946552,0.06978577,0.8300000000000001
-0.8400000000000001,0.40946352,0.069397904,0.8400000000000001
-0.85,0.4094615,0.06901644,0.85
-0.86,0.4094595,0.06864123,0.86
-0.87,0.4094574,0.06827206,0.87
-0.88,0.4094553,0.06790884,0.88
-0.89,0.40945315,0.06755138,0.89
-0.9,0.40945095,0.06719952,0.9
-0.91,0.4094487,0.066853166,0.91
-0.92,0.40944645,0.06651215,0.92
-0.93,0.40944418,0.066176355,0.93
-0.9400000000000001,0.4094418,0.06584564,0.9400000000000001
-0.9500000000000001,0.40943944,0.065519914,0.9500000000000001
-0.9600000000000001,0.409437,0.06519901,0.9600000000000001
-0.97,0.40943453,0.064882845,0.97
-0.98,0.40943205,0.064571306,0.98
-0.99,0.4094295,0.064264275,0.99
-1.0,0.40942687,0.06396167,1.0
-1.01,0.4094243,0.063663356,1.01
-1.02,0.40942162,0.063369274,1.02
-1.03,0.40941894,0.063079305,1.03
-1.04,0.4094162,0.06279336,1.04
-1.05,0.40941343,0.062511355,1.05
