Stage,Epoch,Theta Loss,Grad Loss,Total Loss
Adam,0,0.010288715,0.6247997,11.392355
Adam,100,0.0075939926,0.024138698,4.0383835
Adam,200,0.006027026,0.009100312,3.1045163
Adam,300,0.0056663305,0.004439075,2.8775558
Adam,400,0.005670634,0.0028648365,2.8639655
Adam,500,0.005670767,0.002078644,2.85617
Adam,600,0.0056673056,0.0016294832,2.8499475
Adam,700,0.0056595025,0.0013606645,2.8433578
Adam,800,0.005644997,0.0012052591,2.834551
Adam,900,0.005612985,0.0011639785,2.8181324
Adam,1000,0.005491405,0.0013347862,2.7590504
Adam,1100,0.0041026236,0.0016876335,2.068188
Adam,1200,0.00019973375,0.00057546527,0.105621524
Adam,1300,6.53713e-05,0.00080563425,0.04074199
Adam,1400,3.2146447e-05,0.00076521817,0.023725405
Adam,1500,1.7144033e-05,0.00064279215,0.014999938
Adam,1600,1.0056256e-05,0.00052502204,0.010278348
Adam,1700,6.644159e-06,0.00042671897,0.0075892694
Adam,1800,4.924372e-06,0.0003491015,0.005953201
Adam,1900,3.9655715e-06,0.00028916038,0.0048743896
Adam,2000,3.3538345e-06,0.00024296223,0.0041065393
Adam,2100,2.914532e-06,0.00020704528,0.0035277186
Adam,2200,2.5694983e-06,0.00017872071,0.0030719563
Adam,2300,2.2805018e-06,0.00015605273,0.0027007782
Adam,2400,2.0278833e-06,0.00013766048,0.0023905463
Adam,2500,1.8015775e-06,0.00012253918,0.0021261806
Adam,2600,1.5966227e-06,0.00010994183,0.0018977297
Adam,2700,1.4107382e-06,9.931103e-05,0.0016984793
Adam,2800,1.2429945e-06,9.022611e-05,0.0015237583
Adam,2900,1.0930407e-06,8.236888e-05,0.0013702092
Adam,3000,9.607149e-07,7.549827e-05,0.0012353401
Adam,3100,8.4576783e-07,6.9429174e-05,0.0011171757
Adam,3200,7.4770634e-07,6.402225e-05,0.0010140757
Adam,3300,6.657048e-07,5.916526e-05,0.000924505
Adam,3400,5.985926e-07,5.4776006e-05,0.00084705633
Adam,3500,5.4487856e-07,5.078692e-05,0.00078030844
Adam,3600,5.028017e-07,4.714718e-05,0.0007228727
Adam,3700,4.7047092e-07,4.3817043e-05,0.0006734059
Adam,3800,4.4596615e-07,4.0764626e-05,0.00063062937
Adam,3900,4.2746376e-07,3.7962887e-05,0.00059336075
Adam,4000,4.1331393e-07,3.539072e-05,0.00056056416
Adam,4100,4.0212873e-07,3.302848e-05,0.00053134916
Adam,4200,3.9276887e-07,3.0858522e-05,0.0005049697
Adam,4300,3.8441274e-07,2.8869554e-05,0.00048090192
