Stage,Epoch,Theta Loss,Grad Loss,Total Loss
Adam,0,0.010620968,0.6247997,11.558481
Adam,100,0.0077790204,0.024193978,4.1314497
Adam,200,0.006037488,0.0091988025,3.110732
Adam,300,0.0056259846,0.0044413884,2.8574061
Adam,400,0.005630362,0.002861724,2.8437982
Adam,500,0.005630545,0.00207441,2.8360164
Adam,600,0.0056271716,0.0016251168,2.8298368
Adam,700,0.005619507,0.0013562206,2.8233156
Adam,800,0.0056051887,0.0012009142,2.8146036
Adam,900,0.0055714427,0.00116882,2.7974095
Adam,1000,0.0054253177,0.0014130484,2.7267895
Adam,1100,0.0030716588,0.001306123,1.5488907
Adam,1200,0.00014350473,0.00054978,0.07725016
Adam,1300,5.4542143e-05,0.0007214608,0.03448568
Adam,1400,2.6007112e-05,0.000666493,0.019668486
Adam,1500,1.3362858e-05,0.0005600057,0.012281487
Adam,1600,7.581638e-06,0.0004588816,0.008379635
Adam,1700,4.9883206e-06,0.00037562905,0.006250451
Adam,1800,3.7845987e-06,0.0003101471,0.0049937703
Adam,1900,3.1471789e-06,0.00025952398,0.004168829
Adam,2000,2.7400088e-06,0.00022050863,0.0035750908
Adam,2100,2.4316455e-06,0.00019014656,0.0031172885
Adam,2200,2.1703386e-06,0.00016610051,0.0027461743
Adam,2300,1.9356296e-06,0.00014667129,0.0024345277
Adam,2400,1.719822e-06,0.00013066205,0.0021665315
Adam,2500,1.5204668e-06,0.00011723683,0.0019326017
Adam,2600,1.3371831e-06,0.00010580214,0.0017266129
Adam,2700,1.1702629e-06,9.5929725e-05,0.0015444286
Adam,2800,1.0200905e-06,8.730542e-05,0.0013830995
Adam,2900,8.868565e-07,7.969759e-05,0.0012404041
Adam,3000,7.704538e-07,7.292971e-05,0.001114524
Adam,3100,6.703935e-07,6.686907e-05,0.0010038875
Adam,3200,5.858383e-07,6.141177e-05,0.0009070368
Adam,3300,5.1561904e-07,5.647812e-05,0.0008225907
Adam,3400,4.582959e-07,5.2004136e-05,0.0007491893
Adam,3500,4.122706e-07,4.793822e-05,0.00068551756
Adam,3600,3.758677e-07,4.423779e-05,0.0006303118
Adam,3700,3.4742314e-07,4.086694e-05,0.000582381
Adam,3800,3.2537463e-07,3.7792484e-05,0.00054061215
Adam,3900,3.0830398e-07,3.498818e-05,0.0005040338
Adam,4000,2.9497113e-07,3.2428055e-05,0.0004717661
Adam,4100,2.8434724e-07,3.0089523e-05,0.00044306886
Adam,4200,2.7563823e-07,2.7954839e-05,0.0004173675
Adam,4300,2.683368e-07,2.6014306e-05,0.00039431147
Adam,4400,2.6221485e-07,2.424689e-05,0.00037357633
Adam,4500,2.5477814e-07,2.2642007e-05,0.00035380916
Adam,4600,2.4894058e-07,2.1174084e-05,0.00033621112
Adam,4700,2.4139152e-07,1.9836383e-05,0.0003190596
Adam,4800,2.3447424e-07,1.8610126e-05,0.00030333837
Adam,4900,2.2696591e-07,1.7482822e-05,0.0002883112
L-BFGS-B,1,2.193371e-07,1.6453503e-05,0.00027420357
L-BFGS-B,2,0.052684247,6.335066e-07,26.342129
L-BFGS-B,3,2.1943076e-07,1.6448912e-05,0.0002742045
L-BFGS-B,4,2.1932428e-07,1.6451297e-05,0.0002741751
L-BFGS-B,5,2.1929888e-07,1.645048e-05,0.00027415424
L-BFGS-B,6,2.1920621e-07,1.6447471e-05,0.0002740778
L-BFGS-B,7,2.1891717e-07,1.6433742e-05,0.000273796
L-BFGS-B,8,2.1814407e-07,1.6330558e-05,0.00027237763
L-BFGS-B,9,2.1773788e-07,1.6202619e-05,0.00027089514
L-BFGS-B,10,2.1501279e-07,1.574673e-05,0.00026497367
L-BFGS-B,11,2.1137804e-07,1.4732638e-05,0.0002530154
L-BFGS-B,12,2.0654171e-07,1.355621e-05,0.00023883296
L-BFGS-B,13,2.1887894e-07,1.05713125e-05,0.0002151526
L-BFGS-B,14,1.9226576e-07,1.0119786e-05,0.00019733074
L-BFGS-B,15,1.9182879e-07,9.49105e-06,0.0001908249
L-BFGS-B,16,1.9689804e-07,9.163147e-06,0.0001900805
L-BFGS-B,17,2.0327482e-07,8.609714e-06,0.00018773455
L-BFGS-B,18,2.130834e-07,7.861981e-06,0.00018516151
L-BFGS-B,19,2.198024e-07,7.0709993e-06,0.0001806112
L-BFGS-B,20,2.2901699e-07,5.5026644e-06,0.00016953514
L-BFGS-B,21,2.3093858e-07,4.7915846e-06,0.00016338515
L-BFGS-B,22,2.1888894e-07,4.562359e-06,0.00015506806
L-BFGS-B,23,1.976449e-07,4.441749e-06,0.00014323994
L-BFGS-B,24,1.7152799e-07,4.88029e-06,0.00013456689
L-BFGS-B,25,1.6408767e-07,4.950122e-06,0.00013154505
L-BFGS-B,26,1.5561571e-07,5.1518873e-06,0.00012932673
L-BFGS-B,27,1.4023779e-07,5.413012e-06,0.00012424901
L-BFGS-B,28,1.2576972e-07,5.6628055e-06,0.000119512915
L-BFGS-B,29,9.4582546e-08,5.225044e-06,9.954171e-05
L-BFGS-B,30,1.01194175e-07,4.4217313e-06,9.48144e-05
L-BFGS-B,31,8.7047944e-08,4.8037678e-06,9.156165e-05
L-BFGS-B,32,7.3677015e-08,4.3425243e-06,8.026375e-05
L-BFGS-B,33,7.113927e-08,3.4360667e-06,6.9930305e-05
L-BFGS-B,34,7.8456914e-08,2.848807e-06,6.771652e-05
L-BFGS-B,35,6.458443e-08,2.408519e-06,5.6377405e-05
L-BFGS-B,36,5.8642026e-08,2.5570369e-06,5.489138e-05
L-BFGS-B,37,5.836122e-08,2.3068517e-06,5.2249125e-05
L-BFGS-B,38,5.883792e-08,2.100188e-06,5.042084e-05
L-BFGS-B,39,5.7682588e-08,1.997619e-06,4.8817485e-05
L-BFGS-B,40,5.965817e-08,1.7574523e-06,4.7403606e-05
L-BFGS-B,41,5.963506e-08,1.7033556e-06,4.6851084e-05
L-BFGS-B,42,6.129692e-08,1.5965098e-06,4.661356e-05
