psi,theta,K,h
-0.01,0.41050208,0.24760753,0.01
-0.02,0.41049892,0.23999137,0.02
-0.03,0.4104959,0.23259938,0.03
-0.04,0.41049296,0.22534317,0.04
-0.05,0.41048998,0.21823186,0.05
-0.060000000000000005,0.410487,0.21128929,0.060000000000000005
-0.06999999999999999,0.41048396,0.204538,0.06999999999999999
-0.08,0.41048092,0.19799551,0.08
-0.09,0.41047785,0.19167401,0.09
-0.09999999999999999,0.41047466,0.1855809,0.09999999999999999
-0.11,0.41047144,0.1797195,0.11
-0.12,0.41046816,0.17408992,0.12
-0.13,0.41046485,0.1686898,0.13
-0.14,0.41046146,0.16351478,0.14
-0.15000000000000002,0.41045797,0.15855914,0.15000000000000002
-0.16,0.41045445,0.15381609,0.16
-0.17,0.41045082,0.14927821,0.17
-0.18000000000000002,0.41044712,0.14493752,0.18000000000000002
-0.19,0.41044337,0.14078595,0.19
-0.2,0.41043955,0.1368152,0.2
-0.21000000000000002,0.41043562,0.13301714,0.21000000000000002
-0.22,0.41043162,0.12938364,0.22
-0.23,0.4104275,0.12590685,0.23
-0.24000000000000002,0.4104234,0.12257915,0.24000000000000002
-0.25,0.41041917,0.11939313,0.25
-0.26,0.41041481,0.11634175,0.26
-0.27,0.41041043,0.11341822,0.27
-0.28,0.410406,0.1106161,0.28
-0.29000000000000004,0.41040143,0.107929245,0.29000000000000004
-0.3,0.41039678,0.10535179,0.3
-0.31,0.41039205,0.10287824,0.31
-0.32,0.41038725,0.10050331,0.32
-0.33,0.41038236,0.09822205,0.33
-0.34,0.4103774,0.09602977,0.34
-0.35000000000000003,0.41037238,0.093922034,0.35000000000000003
-0.36000000000000004,0.41036725,0.09189463,0.36000000000000004
-0.37,0.41036204,0.0899436,0.37
-0.38,0.41035676,0.08806525,0.38
-0.39,0.41035137,0.08625598,0.39
-0.4,0.4103459,0.08451252,0.4
-0.41000000000000003,0.4103404,0.08283169,0.41000000000000003
-0.42000000000000004,0.41033477,0.08121051,0.42000000000000004
-0.43,0.41032907,0.07964619,0.43
-0.44,0.41032332,0.07813609,0.44
-0.45,0.41031748,0.076677695,0.45
-0.46,0.41031155,0.07526862,0.46
-0.47000000000000003,0.41030556,0.07390665,0.47000000000000003
-0.48000000000000004,0.41029945,0.07258966,0.48000000000000004
-0.49,0.41029328,0.07131567,0.49
-0.5,0.41028702,0.07008274,0.5
-0.51,0.4102807,0.06888911,0.51
-0.52,0.41027433,0.067733094,0.52
-0.53,0.41026783,0.06661304,0.53
-0.54,0.41026133,0.065527454,0.54
-0.55,0.4102547,0.06447487,0.55
-0.56,0.41024804,0.063453935,0.56
-0.5700000000000001,0.41024125,0.062463354,0.5700000000000001
-0.5800000000000001,0.41023442,0.061501853,0.5800000000000001
-0.59,0.41022754,0.060568277,0.59
-0.6,0.41022056,0.059661526,0.6
-0.61,0.41021347,0.058780536,0.61
-0.62,0.41020638,0.057924274,0.62
-0.63,0.4101992,0.057091787,0.63
-0.64,0.41019195,0.0562822,0.64
-0.65,0.41018462,0.055494584,0.65
-0.66,0.41017723,0.05472814,0.66
-0.67,0.41016978,0.053982086,0.67
-0.68,0.41016224,0.053255662,0.68
-0.6900000000000001,0.41015467,0.052548133,0.6900000000000001
-0.7000000000000001,0.410147,0.05185884,0.7000000000000001
-0.7100000000000001,0.41013932,0.051187098,0.7100000000000001
-0.72,0.4101315,0.050532326,0.72
-0.73,0.4101237,0.04989388,0.73
-0.74,0.4101158,0.049271207,0.74
-0.75,0.41010785,0.04866378,0.75
-0.76,0.41009986,0.04807105,0.76
-0.77,0.41009176,0.04749253,0.77
-0.78,0.4100836,0.046927735,0.78
-0.79,0.41007543,0.04637622,0.79
-0.8,0.4100671,0.04583753,0.8
-0.81,0.4100588,0.045311254,0.81
-0.8200000000000001,0.41005045,0.044796992,0.8200000000000001
-0.8300000000000001,0.410042,0.044294365,0.8300000000000001
-0.8400000000000001,0.41003346,0.04380298,0.8400000000000001
-0.85,0.41002494,0.04332249,0.85
-0.86,0.41001633,0.042852566,0.86
-0.87,0.4100077,0.042392865,0.87
-0.88,0.40999895,0.041943073,0.88
-0.89,0.4099902,0.041502908,0.89
-0.9,0.4099813,0.041072056,0.9
-0.91,0.40997246,0.04065022,0.91
-0.92,0.4099635,0.04023718,0.92
-0.93,0.40995452,0.03983264,0.93
-0.9400000000000001,0.4099455,0.039436378,0.9400000000000001
-0.9500000000000001,0.40993634,0.03904812,0.9500000000000001
-0.9600000000000001,0.4099272,0.03866768,0.9600000000000001
-0.97,0.40991798,0.038294777,0.97
-0.98,0.4099087,0.03792925,0.98
-0.99,0.4098994,0.03757087,0.99
-1.0,0.40989003,0.03721945,1.0
-1.01,0.40988064,0.03687476,1.01
-1.02,0.40987116,0.036536656,1.02
-1.03,0.4098617,0.03620493,1.03
-1.04,0.40985215,0.035879437,1.04
-1.05,0.40984258,0.03556001,1.05
-1.06,0.40983295,0.035246454,1.06
-1.07,0.40982333,0.03493863,1.07
-1.08,0.40981364,0.03463642,1.08
-1.09,0.40980393,0.034339625,1.09
-1.1,0.4097942,0.034048155,1.1
-1.11,0.40978447,0.033761837,1.11
-1.12,0.40977472,0.033480547,1.12
-1.1300000000000001,0.40976495,0.033204168,1.1300000000000001
-1.1400000000000001,0.4097551,0.03293258,1.1400000000000001
-1.1500000000000001,0.40974528,0.03266564,1.1500000000000001
-1.1600000000000001,0.40973544,0.03240327,1.1600000000000001
-1.17,0.40972564,0.03214533,1.17
-1.18,0.40971577,0.03189172,1.18
-1.19,0.40970594,0.03164233,1.19
-1.2,0.40969613,0.031397086,1.2
-1.21,0.4096863,0.031155841,1.21
-1.22,0.40967643,0.030918533,1.22
-1.23,0.40966663,0.030685075,1.23
-1.24,0.40965676,0.030455343,1.24
-1.25,0.409647,0.030229295,1.25
-1.26,0.40963718,0.030006824,1.26
-1.27,0.40962738,0.029787848,1.27
-1.28,0.40961757,0.02957229,1.28
