Stage,Epoch,Theta Loss,Grad Loss,Total Loss
Adam,0,0.011275355,0.6247997,11.885674
Adam,100,0.008093171,0.024390437,4.29049
Adam,200,0.0058823833,0.009493098,3.0361226
Adam,300,0.0053370427,0.004476306,2.7132845
Adam,400,0.0053413035,0.002881679,2.6994684
Adam,500,0.005340991,0.0020898099,2.6913936
Adam,600,0.0053367014,0.0016406884,2.6847575
Adam,700,0.0053272867,0.0013752929,2.6773963
Adam,800,0.005308692,0.0012329377,2.6666753
Adam,900,0.0052359183,0.0013562826,2.6315222
Adam,1000,0.003813221,0.0017715091,1.9243256
Adam,1100,0.00024961174,0.0005141182,0.12994705
Adam,1200,7.191628e-05,0.00067434326,0.04270157
Adam,1300,3.1630352e-05,0.0006489298,0.022304473
Adam,1400,1.5462341e-05,0.0005508596,0.0132397665
Adam,1500,8.786428e-06,0.00045400378,0.008933252
Adam,1600,6.0202738e-06,0.00037350372,0.0067451736
Adam,1700,4.775875e-06,0.00030975702,0.0054855077
Adam,1800,4.1031526e-06,0.00026017815,0.004653358
Adam,1900,3.6527988e-06,0.00022177445,0.004044144
Adam,2000,3.300277e-06,0.00019176835,0.003567822
Adam,2100,2.9976718e-06,0.00016790886,0.0031779245
Adam,2200,2.7236351e-06,0.00014856334,0.002847451
Adam,2300,2.4677183e-06,0.00013258455,0.0025597047
Adam,2400,2.2250983e-06,0.00011916963,0.0023042455
Adam,2500,1.9940514e-06,0.00010774143,0.00207444
Adam,2600,1.7745327e-06,9.788087e-05,0.001866075
Adam,2700,1.5672864e-06,8.927528e-05,0.001676396
Adam,2800,1.3733389e-06,8.168812e-05,0.0015035507
Adam,2900,1.1937807e-06,7.4938886e-05,0.0013462792
Adam,3000,1.0294912e-06,6.888591e-05,0.0012036047
Adam,3100,8.8119583e-07,6.342086e-05,0.0010748066
Adam,3200,7.4930267e-07,5.8453996e-05,0.0009591913
Adam,3300,6.3389086e-07,5.391718e-05,0.0008561172
Adam,3400,5.3471405e-07,4.975558e-05,0.0007649128
Adam,3500,4.5112265e-07,4.5927973e-05,0.00068484107
Adam,3600,3.821526e-07,4.2398795e-05,0.00061506423
Adam,3700,3.264999e-07,3.9142287e-05,0.00055467285
Adam,3800,2.8260445e-07,3.613596e-05,0.0005026618
Adam,3900,2.4874822e-07,3.3362874e-05,0.00045800285
Adam,4000,2.2326732e-07,3.0809744e-05,0.0004197311
Adam,4100,2.0443635e-07,2.8462779e-05,0.00038684596
Adam,4200,1.9075547e-07,2.6308524e-05,0.00035846297
Adam,4300,1.8091495e-07,2.433646e-05,0.00033382207
Adam,4400,1.7375372e-07,2.253588e-05,0.00031223567
Adam,4500,1.6832102e-07,2.0892796e-05,0.00029308847
Adam,4600,1.6404384e-07,1.9395673e-05,0.00027597864
Adam,4700,1.6050701e-07,1.8029441e-05,0.0002605479
Adam,4800,1.5687229e-07,1.6782617e-05,0.0002462623
Adam,4900,1.537237e-07,1.5642345e-05,0.0002332853
L-BFGS-B,1,1.6390251e-07,1.460992e-05,0.00022805046
L-BFGS-B,2,0.041936144,3.2638967e-05,20.9684
L-BFGS-B,3,2.8813326e-07,1.4569521e-05,0.00028976187
L-BFGS-B,4,1.5062346e-07,1.4599763e-05,0.00022130937
L-BFGS-B,5,1.5061563e-07,1.45996455e-05,0.00022130428
L-BFGS-B,6,1.5058613e-07,1.459738e-05,0.00022126686
L-BFGS-B,7,1.5047e-07,1.4589521e-05,0.0002211302
L-BFGS-B,8,1.5005709e-07,1.4555914e-05,0.00022058768
L-BFGS-B,9,1.4918204e-07,1.4422538e-05,0.00021881639
L-BFGS-B,10,1.499236e-07,1.3917645e-05,0.00021413824
L-BFGS-B,11,1.4637268e-07,1.2947764e-05,0.00020266398
L-BFGS-B,12,1.5082352e-07,1.0230297e-05,0.00017771474
L-BFGS-B,13,1.52507e-07,9.6202575e-06,0.00017245607
L-BFGS-B,14,1.4739199e-07,8.793159e-06,0.00016162758
L-BFGS-B,15,1.4228408e-07,7.3605374e-06,0.00014474742
L-BFGS-B,16,1.3737417e-07,7.569991e-06,0.00014438698
L-BFGS-B,17,1.3783772e-07,7.218331e-06,0.00014110218
L-BFGS-B,18,1.3919048e-07,7.084046e-06,0.0001404357
L-BFGS-B,19,1.4335284e-07,6.7297224e-06,0.00013897364
L-BFGS-B,20,1.4703808e-07,6.2960567e-06,0.0001364796
L-BFGS-B,21,1.5146823e-07,5.290587e-06,0.00012863998
L-BFGS-B,22,1.4593195e-07,4.028057e-06,0.00011324654
L-BFGS-B,23,1.368898e-07,2.8707384e-06,9.715228e-05
L-BFGS-B,24,4.830121e-06,1.0775875e-06,0.0024258362
L-BFGS-B,25,1.3285315e-07,2.439384e-06,9.082042e-05
L-BFGS-B,26,1.2111263e-07,2.4170852e-06,8.472717e-05
L-BFGS-B,27,1.211618e-07,2.2376266e-06,8.2957165e-05
L-BFGS-B,28,1.2102832e-07,2.1760254e-06,8.227442e-05
L-BFGS-B,29,1.2240176e-07,2.077185e-06,8.197273e-05
L-BFGS-B,30,1.216527e-07,2.0691848e-06,8.15182e-05
L-BFGS-B,31,1.1922681e-07,2.0381424e-06,7.999483e-05
L-BFGS-B,32,1.0569969e-07,1.9252716e-06,7.210256e-05
