psi,theta,K,h
-0.01,0.42992482,1.0346106,0.01
-0.02,0.4299241,1.0329386,0.02
-0.03,0.42992327,1.0314348,0.03
-0.04,0.42992234,1.0299988,0.04
-0.05,0.42992133,1.0285951,0.05
-0.060000000000000005,0.42992014,1.0272062,0.060000000000000005
-0.06999999999999999,0.42991886,1.0258226,0.06999999999999999
-0.08,0.42991745,1.0244385,0.08
-0.09,0.42991596,1.02305,0.09
-0.09999999999999999,0.42991436,1.0216547,0.09999999999999999
-0.11,0.42991263,1.0202509,0.11
-0.12,0.42991078,1.0188375,0.12
-0.13,0.42990884,1.0174135,0.13
-0.14,0.4299068,1.0159783,0.14
-0.15000000000000002,0.42990464,1.0145317,0.15000000000000002
-0.16,0.42990237,1.0130734,0.16
-0.17,0.4299,1.0116034,0.17
-0.18000000000000002,0.42989752,1.0101212,0.18000000000000002
-0.19,0.42989498,1.008627,0.19
-0.2,0.42989224,1.0071211,0.2
-0.21000000000000002,0.42988944,1.0056033,0.21000000000000002
-0.22,0.42988655,1.0040739,0.22
-0.23,0.42988354,1.0025327,0.23
-0.24000000000000002,0.4298804,1.00098,0.24000000000000002
-0.25,0.42987716,0.9994161,0.25
-0.26,0.42987382,0.9978412,0.26
-0.27,0.4298704,0.9962552,0.27
-0.28,0.42986685,0.9946586,0.28
-0.29000000000000004,0.42986315,0.9930514,0.29000000000000004
-0.3,0.42985934,0.9914338,0.3
-0.31,0.42985547,0.9898062,0.31
-0.32,0.42985147,0.9881685,0.32
-0.33,0.4298473,0.9865211,0.33
-0.34,0.42984307,0.98486423,0.34
-0.35000000000000003,0.42983872,0.98319805,0.35000000000000003
-0.36000000000000004,0.42983425,0.9815228,0.36000000000000004
-0.37,0.42982966,0.97983855,0.37
-0.38,0.42982495,0.97814566,0.38
-0.39,0.42982012,0.9764443,0.39
-0.4,0.42981517,0.97473466,0.4
-0.41000000000000003,0.42981017,0.9730169,0.41000000000000003
-0.42000000000000004,0.42980498,0.9712913,0.42000000000000004
-0.43,0.42979968,0.96955806,0.43
-0.44,0.4297943,0.9678173,0.44
-0.45,0.42978877,0.9660692,0.45
-0.46,0.4297831,0.96431416,0.46
-0.47000000000000003,0.42977738,0.96255213,0.47000000000000003
-0.48000000000000004,0.42977148,0.9607834,0.48000000000000004
-0.49,0.42976546,0.9590082,0.49
-0.5,0.42975938,0.95722675,0.5
-0.51,0.42975318,0.95543915,0.51
-0.52,0.42974684,0.9536455,0.52
-0.53,0.42974037,0.9518461,0.53
-0.54,0.4297338,0.9500412,0.54
-0.55,0.42972705,0.9482308,0.55
-0.56,0.42972028,0.9464151,0.56
-0.5700000000000001,0.4297133,0.94459444,0.5700000000000001
-0.5800000000000001,0.42970628,0.9427689,0.5800000000000001
-0.59,0.42969915,0.9409386,0.59
-0.6,0.42969185,0.9391036,0.6
-0.61,0.42968446,0.9372643,0.61
-0.62,0.42967695,0.9354209,0.62
-0.63,0.42966932,0.9335732,0.63
-0.64,0.4296616,0.93172175,0.64
-0.65,0.42965373,0.9298664,0.65
-0.66,0.42964578,0.9280074,0.66
-0.67,0.42963773,0.92614496,0.67
-0.68,0.4296295,0.9242792,0.68
-0.6900000000000001,0.42962125,0.92241037,0.6900000000000001
-0.7000000000000001,0.42961287,0.9205384,0.7000000000000001
-0.7100000000000001,0.42960435,0.9186635,0.7100000000000001
-0.72,0.42959577,0.916786,0.72
-0.73,0.429587,0.9149058,0.73
-0.74,0.42957824,0.9130232,0.74
-0.75,0.4295693,0.91113806,0.75
-0.76,0.4295603,0.9092509,0.76
-0.77,0.42955118,0.9073616,0.77
-0.78,0.42954195,0.9054703,0.78
-0.79,0.42953262,0.9035772,0.79
-0.8,0.42952317,0.90168244,0.8
-0.81,0.42951366,0.89978606,0.81
-0.8200000000000001,0.42950404,0.89788836,0.8200000000000001
-0.8300000000000001,0.42949432,0.8959891,0.8300000000000001
-0.8400000000000001,0.42948455,0.89408875,0.8400000000000001
-0.85,0.4294746,0.8921873,0.85
-0.86,0.42946458,0.8902848,0.86
-0.87,0.4294545,0.8883815,0.87
-0.88,0.4294443,0.8864773,0.88
-0.89,0.42943403,0.8845725,0.89
-0.9,0.4294237,0.88266724,0.9
-0.91,0.42941326,0.88076144,0.91
-0.92,0.4294027,0.8788553,0.92
-0.93,0.4293921,0.8769489,0.93
-0.9400000000000001,0.42938137,0.8750424,0.9400000000000001
-0.9500000000000001,0.42937058,0.8731357,0.9500000000000001
-0.9600000000000001,0.42935973,0.8712292,0.9600000000000001
-0.97,0.42934877,0.8693228,0.97
-0.98,0.42933774,0.8674166,0.98
-0.99,0.42932665,0.8655108,0.99
-1.0,0.42931545,0.86360544,1.0
-1.01,0.42930418,0.8617005,1.01
-1.02,0.42929283,0.85979617,1.02
-1.03,0.4292814,0.8578925,1.03
-1.04,0.4292699,0.8559897,1.04
-1.05,0.42925835,0.85408765,1.05
-1.06,0.42924672,0.85218656,1.06
-1.07,0.42923504,0.8502865,1.07
-1.08,0.42922324,0.84838754,1.08
-1.09,0.42921138,0.84648967,1.09
-1.1,0.4291995,0.8445931,1.1
-1.11,0.42918754,0.8426978,1.11
-1.12,0.42917544,0.8408039,1.12
-1.1300000000000001,0.42916334,0.83891153,1.1300000000000001
-1.1400000000000001,0.42915118,0.83702075,1.1400000000000001
-1.1500000000000001,0.4291389,0.83513147,1.1500000000000001
-1.1600000000000001,0.4291266,0.83324385,1.1600000000000001
-1.17,0.42911422,0.831358,1.17
-1.18,0.42910182,0.8294739,1.18
-1.19,0.4290893,0.8275918,1.19
-1.2,0.42907667,0.82571155,1.2
-1.21,0.4290641,0.8238333,1.21
-1.22,0.42905143,0.82195705,1.22
-1.23,0.4290387,0.820083,1.23
-1.24,0.42902592,0.818211,1.24
-1.25,0.42901307,0.8163414,1.25
-1.26,0.42900017,0.81447405,1.26
-1.27,0.4289872,0.81260896,1.27
-1.28,0.4289742,0.8107463,1.28
-1.29,0.42896116,0.8088862,1.29
-1.3,0.428948,0.8070284,1.3
-1.31,0.4289348,0.8051733,1.31
-1.32,0.42892158,0.80332077,1.32
-1.33,0.4289083,0.80147094,1.33
-1.34,0.428895,0.79962367,1.34
-1.35,0.42888162,0.7977793,1.35
-1.36,0.4288682,0.79593766,1.36
-1.37,0.4288547,0.794099,1.37
-1.3800000000000001,0.42884117,0.792263,1.3800000000000001
-1.3900000000000001,0.42882758,0.79043,1.3900000000000001
-1.4000000000000001,0.42881396,0.7886,1.4000000000000001
-1.4100000000000001,0.42880028,0.7867731,1.4100000000000001
-1.42,0.42878652,0.7849492,1.42
-1.43,0.42877275,0.78312826,1.43
-1.44,0.42875895,0.78131056,1.44
-1.45,0.4287451,0.779496,1.45
-1.46,0.42873114,0.7776847,1.46
-1.47,0.42871723,0.7758765,1.47
-1.48,0.42870322,0.7740718,1.48
-1.49,0.42868918,0.77227026,1.49
-1.5,0.4286751,0.77047217,1.5
-1.51,0.42866096,0.76867735,1.51
-1.52,0.42864674,0.766886,1.52
-1.53,0.42863256,0.7650981,1.53
-1.54,0.42861825,0.7633137,1.54
-1.55,0.42860395,0.7615328,1.55
-1.56,0.42858958,0.7597554,1.56
-1.57,0.42857522,0.75798154,1.57
-1.58,0.42856073,0.7562113,1.58
-1.59,0.42854625,0.7544446,1.59
-1.6,0.42853177,0.7526816,1.6
-1.61,0.42851722,0.7509224,1.61
-1.62,0.4285026,0.7491667,1.62
-1.6300000000000001,0.42848796,0.7474148,1.6300000000000001
-1.6400000000000001,0.42847323,0.7456667,1.6400000000000001
-1.6500000000000001,0.42845854,0.74392223,1.6500000000000001
-1.6600000000000001,0.42844376,0.7421817,1.6600000000000001
-1.6700000000000002,0.42842895,0.7404449,1.6700000000000002
-1.68,0.4284141,0.73871195,1.68
-1.69,0.4283992,0.7369828,1.69
-1.7,0.4283843,0.7352576,1.7
-1.71,0.42836934,0.73353624,1.71
-1.72,0.42835432,0.7318188,1.72
-1.73,0.4283393,0.7301053,1.73
-1.74,0.4283242,0.72839576,1.74
-1.75,0.42830908,0.7266902,1.75
-1.76,0.4282939,0.7249885,1.76
-1.77,0.42827868,0.723291,1.77
-1.78,0.4282635,0.7215973,1.78
-1.79,0.42824823,0.71990776,1.79
-1.8,0.4282329,0.71822226,1.8
-1.81,0.42821753,0.71654075,1.81
-1.82,0.42820215,0.71486336,1.82
-1.83,0.4281867,0.71319,1.83
-1.84,0.42817125,0.71152085,1.84
-1.85,0.42815575,0.70985574,1.85
-1.86,0.4281402,0.70819473,1.86
-1.87,0.4281246,0.70653784,1.87
-1.8800000000000001,0.428109,0.7048851,1.8800000000000001
-1.8900000000000001,0.42809334,0.7032365,1.8900000000000001
-1.9000000000000001,0.42807764,0.7015921,1.9000000000000001
-1.9100000000000001,0.42806196,0.69995195,1.9100000000000001
-1.9200000000000002,0.42804617,0.6983158,1.9200000000000002
-1.93,0.42803037,0.6966839,1.93
-1.94,0.42801452,0.69505626,1.94
-1.95,0.42799866,0.69343275,1.95
-1.96,0.42798275,0.69181347,1.96
-1.97,0.42796677,0.6901985,1.97
-1.98,0.4279508,0.68858767,1.98
-1.99,0.4279348,0.6869811,1.99
-2.0,0.42791873,0.68537873,2.0
-2.01,0.42790264,0.6837806,2.01
-2.02,0.42788652,0.68218666,2.02
