psi,theta
-2.31,0.427442
-2.32,0.427424
-2.3299999999999996,0.427406
-2.34,0.42738798
-2.3499999999999996,0.4273699
-2.36,0.42735177
-2.3699999999999997,0.42733365
-2.38,0.42731544
-2.3899999999999997,0.42729723
-2.4,0.42727897
-2.4099999999999997,0.4272607
-2.42,0.42724234
-2.4299999999999997,0.42722398
-2.44,0.42720556
-2.4499999999999997,0.42718714
-2.46,0.42716867
-2.4699999999999998,0.42715016
-2.48,0.42713165
-2.4899999999999998,0.42711303
-2.5,0.42709446
-2.51,0.4270758
-2.52,0.42705715
-2.53,0.4270384
-2.54,0.4270197
-2.55,0.4270009
-2.56,0.4269821
-2.57,0.42696327
-2.5799999999999996,0.42694438
-2.59,0.4269255
-2.5999999999999996,0.42690653
-2.61,0.42688757
-2.6199999999999997,0.4268686
-2.63,0.42684954
-2.6399999999999997,0.4268305
-2.65,0.4268114
-2.6599999999999997,0.4267923
-2.67,0.42677313
-2.6799999999999997,0.42675394
-2.69,0.42673475
-2.6999999999999997,0.4267155
-2.71,0.42669624
-2.7199999999999998,0.42667693
-2.73,0.42665762
-2.7399999999999998,0.42663825
-2.75,0.42661887
-2.76,0.42659944
-2.77,0.42657998
-2.78,0.42656052
-2.79,0.426541
-2.8,0.42652148
-2.81,0.42650193
-2.82,0.42648232
-2.8299999999999996,0.4264627
-2.84,0.42644307
-2.8499999999999996,0.4264234
-2.86,0.4264037
-2.8699999999999997,0.42638397
-2.88,0.42636424
-2.8899999999999997,0.42634445
-2.9,0.4263246
-2.9099999999999997,0.42630482
-2.92,0.42628494
-2.9299999999999997,0.42626506
-2.94,0.4262451
-2.9499999999999997,0.4262252
-2.96,0.42620522
-2.9699999999999998,0.42618522
-2.98,0.4261652
-2.9899999999999998,0.42614514
-3.0,0.42612508
-3.01,0.42610496
-3.02,0.42608485
-3.03,0.42606467
-3.04,0.42604452
-3.05,0.42602432
-3.06,0.42600408
-3.07,0.42598382
-3.08,0.42596355
-3.09,0.42594323
-3.0999999999999996,0.42592287
-3.11,0.42590255
-3.1199999999999997,0.42588216
-3.13,0.42586175
-3.1399999999999997,0.42584127
-3.15,0.4258209
-3.1599999999999997,0.42580038
-3.17,0.42577985
-3.1799999999999997,0.42575932
-3.19,0.4257388
-3.1999999999999997,0.42571825
-3.21,0.42569757
-3.2199999999999998,0.42567697
-3.23,0.42565632
-3.2399999999999998,0.42563564
-3.25,0.42561492
-3.26,0.4255942
-3.27,0.42557347
-3.28,0.42555267
-3.29,0.4255319
-3.3,0.42551106
-3.31,0.4254902
-3.32,0.4254693
-3.33,0.42544842
-3.34,0.4254275
-3.3499999999999996,0.42540655
-3.36,0.4253856
-3.3699999999999997,0.4253646
-3.38,0.42534357
-3.3899999999999997,0.42532253
-3.4,0.4253015
-3.4099999999999997,0.4252804
-3.42,0.4252593
-3.4299999999999997,0.42523816
-3.44,0.42521697
-3.4499999999999997,0.4251958
-3.46,0.4251746
-3.4699999999999998,0.42515337
-3.48,0.4251321
-3.4899999999999998,0.42511085
-3.5,0.42508954
-3.51,0.42506823
-3.52,0.42504686
-3.53,0.4250255
-3.54,0.42500412
-3.55,0.4249827
-3.56,0.42496127
-3.57,0.4249398
-3.58,0.42491832
-3.59,0.42489678
-3.5999999999999996,0.42487526
-3.61,0.4248537
-3.6199999999999997,0.4248321
-3.63,0.42481056
-3.6399999999999997,0.42478892
-3.65,0.42476726
-3.6599999999999997,0.42474562
-3.67,0.42472392
-3.6799999999999997,0.4247022
-3.69,0.42468044
-3.6999999999999997,0.42465872
-3.71,0.4246369
-3.7199999999999998,0.4246151
-3.73,0.42459327
-3.7399999999999998,0.4245714
-3.75,0.42454955
-3.76,0.42452765
-3.77,0.4245057
-3.78,0.42448378
-3.79,0.4244618
-3.8,0.42443985
-3.81,0.4244178
-3.82,0.4243958
-3.83,0.42437372
-3.84,0.42435163
-3.8499999999999996,0.42432952
-3.86,0.4243074
-3.8699999999999997,0.4242853
-3.88,0.42426312
-3.8899999999999997,0.4242409
-3.9,0.42421868
-3.9099999999999997,0.42419645
-3.92,0.4241742
-3.9299999999999997,0.4241519
-3.94,0.4241296
-3.9499999999999997,0.42410728
-3.96,0.4240849
-3.9699999999999998,0.42406255
-3.98,0.42404014
-3.9899999999999998,0.42401773
-4.0,0.42399532
-4.01,0.42397285
-4.02,0.4239503
-4.03,0.42392784
-4.04,0.4239053
-4.05,0.42388275
-4.06,0.4238602
-4.07,0.42383757
-4.08,0.42381495
-4.09,0.4237923
-4.1,0.42376965
-4.109999999999999,0.42374697
-4.12,0.42372423
-4.13,0.42370152
-4.14,0.4236788
-4.1499999999999995,0.423656
-4.16,0.42363316
-4.17,0.4236104
-4.18,0.4235875
-4.1899999999999995,0.42356467
-4.2,0.42354175
-4.21,0.42351887
-4.22,0.42349595
-4.2299999999999995,0.42347294
-4.24,0.42345
-4.25,0.42342702
-4.26,0.42340398
-4.27,0.42338094
-4.28,0.42335787
-4.29,0.42333478
-4.3,0.42331168
-4.31,0.42328855
-4.32,0.4232654
-4.33,0.4232422
-4.34,0.42321903
-4.35,0.4231958
-4.36,0.4231726
-4.37,0.4231493
-4.38,0.42312604
-4.39,0.42310274
-4.3999999999999995,0.4230794
-4.41,0.42305607
-4.42,0.42303264
-4.43,0.42300928
-4.4399999999999995,0.42298585
-4.45,0.42296243
-4.46,0.42293894
-4.47,0.42291546
-4.4799999999999995,0.42289197
-4.49,0.42286846
-4.5,0.4228449
-4.51,0.42282128
-4.52,0.42279774
-4.53,0.42277414
-4.54,0.4227505
-4.55,0.42272684
-4.56,0.42270315
-4.57,0.42267945
-4.58,0.4226557
-4.59,0.42263198
-4.6,0.4226082
-4.61,0.4225844
-4.62,0.42256063
-4.63,0.4225368
-4.64,0.42251295
-4.6499999999999995,0.4224891
-4.66,0.4224652
-4.67,0.4224413
-4.68,0.42241734
-4.6899999999999995,0.42239338
-4.7,0.4223694
-4.71,0.4223454
-4.72,0.42232138
-4.7299999999999995,0.42229736
-4.74,0.42227328
-4.75,0.4222492
-4.76,0.4222251
-4.77,0.42220092
-4.78,0.42217678
-4.79,0.42215264
-4.8,0.42212844
-4.81,0.4221042
-4.82,0.42207998
-4.83,0.42205572
-4.84,0.42203146
-4.85,0.42200714
-4.86,0.42198282
-4.87,0.42195848
-4.88,0.42193413
-4.89,0.42190972
-4.8999999999999995,0.4218853
-4.91,0.42186087
-4.92,0.42183644
-4.93,0.42181197
-4.9399999999999995,0.4217875
-4.95,0.421763
-4.96,0.42173845
-4.97,0.4217139
-4.9799999999999995,0.42168933
-4.99,0.4216647
-5.0,0.4216401
-5.01,0.42161548
-5.02,0.4215908
-5.03,0.42156616
-5.04,0.42154145
-5.05,0.42151672
-5.06,0.42149198
-5.07,0.42146724
-5.08,0.42144245
-5.09,0.42141765
-5.1,0.42139283
-5.11,0.421368
-5.12,0.42134312
-5.13,0.42131823
-5.14,0.42129332
-5.1499999999999995,0.4212684
-5.16,0.42124343
-5.17,0.4212185
-5.18,0.42119348
-5.1899999999999995,0.4211685
-5.2,0.42114347
-5.21,0.42111838
-5.22,0.42109334
-5.2299999999999995,0.42106825
-5.24,0.42104316
-5.25,0.421018
-5.26,0.42099288
-5.27,0.4209677
-5.28,0.4209425
-5.29,0.42091727
-5.3,0.42089206
-5.31,0.4208668
-5.32,0.42084157
-5.33,0.42081624
-5.34,0.42079097
-5.35,0.42076564
-5.36,0.4207403
-5.37,0.4207149
-5.38,0.42068952
-5.39,0.42066413
-5.3999999999999995,0.42063868
-5.41,0.42061323
-5.42,0.42058775
-5.43,0.42056227
-5.4399999999999995,0.42053676
-5.45,0.42051122
-5.46,0.42048568
-5.47,0.4204601
-5.4799999999999995,0.4204345
-5.49,0.4204089
-5.5,0.42038327
-5.51,0.42035764
-5.52,0.42033195
-5.53,0.4203063
-5.54,0.42028058
-5.55,0.42025486
-5.56,0.42022908
-5.57,0.42020333
-5.58,0.42017755
-5.59,0.4201517
-5.6,0.4201259
-5.61,0.4201001
-5.62,0.42007422
-5.63,0.4200484
-5.64,0.42002246
-5.6499999999999995,0.41999653
-5.66,0.41997057
-5.67,0.41994464
-5.68,0.41991866
-5.6899999999999995,0.4198927
-5.7,0.41986662
-5.71,0.41984063
-5.72,0.4198146
-5.7299999999999995,0.4197885
-5.74,0.41976243
-5.75,0.41973633
-5.76,0.41971016
-5.77,0.41968405
-5.78,0.4196579
-5.79,0.41963166
-5.8,0.41960546
-5.81,0.41957927
-5.82,0.419553
-5.83,0.41952676
-5.84,0.4195005
-5.85,0.41947418
-5.86,0.4194479
-5.87,0.41942155
-5.88,0.4193952
-5.89,0.41936883
-5.8999999999999995,0.41934246
-5.91,0.41931605
-5.92,0.41928962
-5.93,0.41926318
-5.9399999999999995,0.41923672
-5.95,0.41921026
-5.96,0.41918373
-5.97,0.4191572
-5.9799999999999995,0.41913068
-5.99,0.41910416
