psi,theta
-0.01,0.409674
-0.02,0.40967312
-0.03,0.40967253
-0.04,0.40967202
-0.05,0.4096716
-0.060000000000000005,0.40967122
-0.06999999999999999,0.40967086
-0.08,0.40967053
-0.09,0.40967023
-0.09999999999999999,0.40966994
-0.11,0.4096697
-0.12,0.4096694
-0.13,0.4096691
-0.14,0.40966886
-0.15000000000000002,0.40966862
-0.16,0.4096684
-0.17,0.40966812
-0.18000000000000002,0.40966788
-0.19,0.40966764
-0.2,0.4096674
-0.21000000000000002,0.40966713
-0.22,0.4096669
-0.23,0.40966666
-0.24000000000000002,0.4096664
-0.25,0.40966615
-0.26,0.40966594
-0.27,0.40966567
-0.28,0.4096654
-0.29000000000000004,0.4096651
-0.3,0.40966487
-0.31,0.40966457
-0.32,0.4096643
-0.33,0.409664
-0.34,0.40966374
-0.35000000000000003,0.4096634
-0.36000000000000004,0.4096631
-0.37,0.40966278
-0.38,0.4096625
-0.39,0.40966213
-0.4,0.40966177
-0.41000000000000003,0.4096614
-0.42000000000000004,0.40966105
-0.43,0.40966064
-0.44,0.4096603
-0.45,0.40965986
-0.46,0.40965945
-0.47000000000000003,0.40965903
-0.48000000000000004,0.40965855
-0.49,0.4096581
-0.5,0.40965766
-0.51,0.40965715
-0.52,0.40965664
-0.53,0.4096561
-0.54,0.40965557
-0.55,0.40965503
-0.56,0.4096545
-0.5700000000000001,0.4096539
-0.5800000000000001,0.40965325
-0.59,0.40965262
-0.6,0.409652
-0.61,0.40965134
-0.62,0.40965062
-0.63,0.40964994
-0.64,0.40964916
-0.65,0.40964842
-0.66,0.40964764
-0.67,0.4096468
-0.68,0.40964597
-0.6900000000000001,0.40964514
-0.7000000000000001,0.40964425
-0.7100000000000001,0.40964335
-0.72,0.4096424
-0.73,0.40964144
-0.74,0.40964043
-0.75,0.40963942
-0.76,0.40963838
-0.77,0.40963727
-0.78,0.40963614
-0.79,0.409635
-0.8,0.40963382
-0.81,0.4096326
-0.8200000000000001,0.40963137
-0.8300000000000001,0.40963006
-0.8400000000000001,0.40962875
-0.85,0.40962738
-0.86,0.40962598
-0.87,0.40962452
-0.88,0.40962303
-0.89,0.4096215
-0.9,0.40961993
-0.91,0.40961835
-0.92,0.4096167
-0.93,0.40961498
-0.9400000000000001,0.4096132
-0.9500000000000001,0.40961143
-0.9600000000000001,0.40960962
-0.97,0.4096077
-0.98,0.4096058
-0.99,0.40960377
-1.0,0.40960175
-1.01,0.40959966
-1.02,0.4095975
-1.03,0.4095953
-1.04,0.40959305
-1.05,0.40959072
-1.06,0.40958834
-1.07,0.40958592
-1.08,0.40958345
-1.09,0.4095809
-1.1,0.40957826
-1.11,0.4095756
-1.12,0.40957287
-1.1300000000000001,0.40957004
-1.1400000000000001,0.40956724
-1.1500000000000001,0.4095643
-1.1600000000000001,0.40956128
-1.17,0.40955824
-1.18,0.4095551
-1.19,0.40955192
-1.2,0.40954867
-1.21,0.40954533
-1.22,0.40954193
-1.23,0.4095385
-1.24,0.40953496
-1.25,0.40953135
-1.26,0.40952766
-1.27,0.40952396
-1.28,0.40952015
-1.29,0.40951625
-1.3,0.40951228
-1.31,0.4095083
-1.32,0.40950418
-1.33,0.4095
-1.34,0.40949577
-1.35,0.40949148
-1.36,0.40948707
-1.37,0.4094826
-1.3800000000000001,0.4094781
-1.3900000000000001,0.4094735
-1.4000000000000001,0.40946886
-1.4100000000000001,0.40946412
-1.42,0.40945935
-1.43,0.40945446
-1.44,0.40944952
-1.45,0.4094445
-1.46,0.40943944
-1.47,0.40943432
-1.48,0.40942913
-1.49,0.40942386
-1.5,0.40941852
-1.51,0.40941313
-1.52,0.40940768
-1.53,0.40940216
-1.54,0.4093966
-1.55,0.40939093
-1.56,0.4093852
-1.57,0.40937948
-1.58,0.40937364
-1.59,0.40936774
-1.6,0.40936184
-1.61,0.40935585
-1.62,0.4093498
-1.6300000000000001,0.40934372
-1.6400000000000001,0.40933758
-1.6500000000000001,0.40933132
-1.6600000000000001,0.40932512
-1.6700000000000002,0.40931877
-1.68,0.40931243
-1.69,0.40930602
-1.7,0.40929958
-1.71,0.40929312
-1.72,0.40928656
-1.73,0.40927994
-1.74,0.40927333
-1.75,0.40926665
-1.76,0.40925995
-1.77,0.40925318
-1.78,0.4092464
-1.79,0.4092396
-1.8,0.4092327
-1.81,0.4092258
-1.82,0.40921885
-1.83,0.40921187
-1.84,0.40920484
-1.85,0.4091978
-1.86,0.40919074
-1.87,0.40918362
-1.8800000000000001,0.40917647
-1.8900000000000001,0.4091693
-1.9000000000000001,0.4091621
-1.9100000000000001,0.40915483
-1.9200000000000002,0.40914756
