psi,theta
-0.01,0.4296415
-0.02,0.42963994
-0.03,0.42963827
-0.04,0.4296366
-0.05,0.4296348
-0.060000000000000005,0.42963296
-0.06999999999999999,0.42963105
-0.08,0.42962915
-0.09,0.42962712
-0.09999999999999999,0.4296251
-0.11,0.42962295
-0.12,0.42962077
-0.13,0.42961854
-0.14,0.42961627
-0.15000000000000002,0.42961395
-0.16,0.42961156
-0.17,0.42960918
-0.18000000000000002,0.42960668
-0.19,0.4296041
-0.2,0.4296015
-0.21000000000000002,0.42959884
-0.22,0.42959613
-0.23,0.42959338
-0.24000000000000002,0.42959058
-0.25,0.4295877
-0.26,0.42958477
-0.27,0.42958182
-0.28,0.42957875
-0.29000000000000004,0.42957568
-0.3,0.42957252
-0.31,0.4295693
-0.32,0.42956606
-0.33,0.4295627
-0.34,0.42955932
-0.35000000000000003,0.4295559
-0.36000000000000004,0.42955238
-0.37,0.42954886
-0.38,0.42954522
-0.39,0.42954156
-0.4,0.4295378
-0.41000000000000003,0.42953402
-0.42000000000000004,0.42953017
-0.43,0.4295262
-0.44,0.42952225
-0.45,0.4295182
-0.46,0.42951408
-0.47000000000000003,0.42950988
-0.48000000000000004,0.42950565
-0.49,0.4295013
-0.5,0.42949697
-0.51,0.4294925
-0.52,0.429488
-0.53,0.4294834
-0.54,0.42947876
-0.55,0.42947412
-0.56,0.4294693
-0.5700000000000001,0.42946446
-0.5800000000000001,0.42945954
-0.59,0.42945457
-0.6,0.4294495
-0.61,0.42944437
-0.62,0.4294392
-0.63,0.4294339
-0.64,0.42942858
-0.65,0.4294232
-0.66,0.4294177
-0.67,0.42941213
-0.68,0.42940652
-0.6900000000000001,0.42940086
-0.7000000000000001,0.42939508
-0.7100000000000001,0.42938924
-0.72,0.42938334
-0.73,0.42937732
-0.74,0.42937124
-0.75,0.4293651
-0.76,0.4293589
-0.77,0.42935258
-0.78,0.42934626
-0.79,0.4293398
-0.8,0.42933327
-0.81,0.42932665
-0.8200000000000001,0.42931998
-0.8300000000000001,0.42931324
-0.8400000000000001,0.42930642
-0.85,0.42929953
-0.86,0.42929253
-0.87,0.42928547
-0.88,0.4292783
-0.89,0.4292711
-0.9,0.42926377
-0.91,0.42925644
-0.92,0.42924896
-0.93,0.42924142
-0.9400000000000001,0.42923382
-0.9500000000000001,0.4292261
-0.9600000000000001,0.42921835
-0.97,0.42921048
-0.98,0.42920253
-0.99,0.4291945
-1.0,0.42918646
-1.01,0.42917827
-1.02,0.42917
-1.03,0.42916167
-1.04,0.42915326
-1.05,0.42914474
-1.06,0.42913616
-1.07,0.4291275
-1.08,0.42911875
-1.09,0.42910993
-1.1,0.42910105
-1.11,0.42909205
-1.12,0.42908296
-1.1300000000000001,0.4290738
-1.1400000000000001,0.42906457
-1.1500000000000001,0.42905527
-1.1600000000000001,0.42904592
-1.17,0.4290364
-1.18,0.42902684
-1.19,0.4290172
-1.2,0.42900747
-1.21,0.4289977
-1.22,0.4289878
-1.23,0.42897785
-1.24,0.42896777
-1.25,0.42895764
-1.26,0.42894745
-1.27,0.42893714
-1.28,0.4289268
-1.29,0.42891634
-1.3,0.42890579
-1.31,0.42889518
-1.32,0.42888445
-1.33,0.4288737
-1.34,0.42886284
-1.35,0.4288519
-1.36,0.42884088
-1.37,0.42882976
-1.3800000000000001,0.42881858
-1.3900000000000001,0.42880738
-1.4000000000000001,0.42879602
-1.4100000000000001,0.4287846
-1.42,0.4287731
-1.43,0.42876154
-1.44,0.42874986
-1.45,0.42873812
-1.46,0.42872632
-1.47,0.42871445
-1.48,0.42870247
-1.49,0.4286904
-1.5,0.4286783
-1.51,0.42866606
-1.52,0.42865378
-1.53,0.42864144
-1.54,0.428629
-1.55,0.4286165
-1.56,0.4286039
-1.57,0.42859125
-1.58,0.4285785
-1.59,0.42856568
-1.6,0.4285528
-1.61,0.4285398
-1.62,0.42852676
-1.6300000000000001,0.42851365
-1.6400000000000001,0.42850047
-1.6500000000000001,0.42848718
-1.6600000000000001,0.4284739
-1.6700000000000002,0.42846042
-1.68,0.42844695
-1.69,0.4284334
-1.7,0.42841977
-1.71,0.42840606
-1.72,0.4283923
-1.73,0.4283784
-1.74,0.42836446
-1.75,0.4283505
-1.76,0.42833644
-1.77,0.42832232
-1.78,0.42830807
-1.79,0.4282938
-1.8,0.42827946
-1.81,0.42826504
-1.82,0.42825055
-1.83,0.428236
-1.84,0.4282214
-1.85,0.42820668
-1.86,0.4281919
-1.87,0.4281771
-1.8800000000000001,0.42816222
-1.8900000000000001,0.42814726
-1.9000000000000001,0.42813224
-1.9100000000000001,0.42811716
-1.9200000000000002,0.42810196
-1.93,0.42808673
-1.94,0.42807144
-1.95,0.42805612
-1.96,0.42804068
-1.97,0.4280252
-1.98,0.42800966
-1.99,0.42799404
-2.0,0.42797837
-2.01,0.42796263
-2.02,0.42794684
-2.03,0.42793095
-2.04,0.42791504
-2.05,0.42789906
-2.0599999999999996,0.42788303
-2.07,0.4278669
-2.0799999999999996,0.42785078
-2.09,0.42783454
-2.0999999999999996,0.42781824
-2.11,0.42780188
-2.1199999999999997,0.42778552
-2.13,0.42776904
-2.1399999999999997,0.4277525
-2.15,0.42773595
-2.1599999999999997,0.4277193
-2.17,0.4277026
-2.1799999999999997,0.42768586
-2.19,0.42766905
-2.1999999999999997,0.42765224
-2.21,0.4276353
-2.2199999999999998,0.42761832
-2.23,0.42760128
-2.2399999999999998,0.42758423
-2.25,0.4275671
-2.26,0.4275499
-2.27,0.42753267
-2.28,0.42751536
-2.29,0.42749804
-2.3,0.42748064
-2.31,0.42746317
-2.32,0.42744568
-2.3299999999999996,0.42742813
-2.34,0.42741054
-2.3499999999999996,0.42739287
-2.36,0.42737517
-2.3699999999999997,0.4273574
-2.38,0.4273396
-2.3899999999999997,0.42732173
-2.4,0.42730385
-2.4099999999999997,0.4272859
-2.42,0.4272679
-2.4299999999999997,0.42724985
-2.44,0.42723176
-2.4499999999999997,0.4272136
-2.46,0.42719543
