psi,theta
-0.01,0.42985052
-0.02,0.4298491
-0.03,0.42984757
-0.04,0.429846
-0.05,0.42984438
-0.060000000000000005,0.4298427
-0.06999999999999999,0.42984098
-0.08,0.4298392
-0.09,0.42983735
-0.09999999999999999,0.42983547
-0.11,0.42983353
-0.12,0.42983148
-0.13,0.42982936
-0.14,0.42982718
-0.15000000000000002,0.42982498
-0.16,0.42982268
-0.17,0.4298203
-0.18000000000000002,0.42981791
-0.19,0.42981535
-0.2,0.4298128
-0.21000000000000002,0.42981014
-0.22,0.42980742
-0.23,0.42980462
-0.24000000000000002,0.42980176
-0.25,0.42979878
-0.26,0.42979577
-0.27,0.42979264
-0.28,0.42978945
-0.29000000000000004,0.4297862
-0.3,0.42978287
-0.31,0.4297794
-0.32,0.4297759
-0.33,0.42977232
-0.34,0.42976862
-0.35000000000000003,0.4297648
-0.36000000000000004,0.429761
-0.37,0.42975706
-0.38,0.429753
-0.39,0.4297489
-0.4,0.42974466
-0.41000000000000003,0.42974037
-0.42000000000000004,0.429736
-0.43,0.4297315
-0.44,0.42972693
-0.45,0.42972225
-0.46,0.42971748
-0.47000000000000003,0.42971265
-0.48000000000000004,0.4297077
-0.49,0.42970267
-0.5,0.4296975
-0.51,0.42969227
-0.52,0.42968696
-0.53,0.42968154
-0.54,0.429676
-0.55,0.42967036
-0.56,0.4296646
-0.5700000000000001,0.42965883
-0.5800000000000001,0.42965293
-0.59,0.4296469
-0.6,0.42964077
-0.61,0.42963457
-0.62,0.42962825
-0.63,0.42962185
-0.64,0.42961538
-0.65,0.4296087
-0.66,0.42960203
-0.67,0.42959517
-0.68,0.42958832
-0.6900000000000001,0.42958128
-0.7000000000000001,0.4295742
-0.7100000000000001,0.42956698
-0.72,0.42955965
-0.73,0.42955223
-0.74,0.42954472
-0.75,0.42953712
-0.76,0.42952943
-0.77,0.4295216
-0.78,0.4295137
-0.79,0.4295057
-0.8,0.42949754
-0.81,0.42948937
-0.8200000000000001,0.42948106
-0.8300000000000001,0.42947263
-0.8400000000000001,0.42946416
-0.85,0.42945555
-0.86,0.42944682
-0.87,0.42943805
-0.88,0.42942914
-0.89,0.42942014
-0.9,0.42941108
-0.91,0.42940187
-0.92,0.42939258
-0.93,0.42938322
-0.9400000000000001,0.42937374
-0.9500000000000001,0.4293642
-0.9600000000000001,0.42935452
-0.97,0.42934477
-0.98,0.42933494
-0.99,0.42932498
-1.0,0.42931494
-1.01,0.42930484
-1.02,0.42929462
-1.03,0.42928427
-1.04,0.4292739
-1.05,0.4292634
-1.06,0.4292528
-1.07,0.42924216
-1.08,0.4292314
-1.09,0.42922053
-1.1,0.42920962
-1.11,0.4291986
-1.12,0.42918748
-1.1300000000000001,0.4291763
-1.1400000000000001,0.42916504
-1.1500000000000001,0.42915368
-1.1600000000000001,0.42914224
-1.17,0.42913067
-1.18,0.4291191
-1.19,0.42910737
-1.2,0.42909557
-1.21,0.42908376
-1.22,0.42907184
-1.23,0.42905983
-1.24,0.4290477
-1.25,0.4290355
-1.26,0.42902327
-1.27,0.42901093
-1.28,0.4289985
-1.29,0.428986
-1.3,0.4289735
-1.31,0.42896083
-1.32,0.4289481
-1.33,0.42893535
-1.34,0.42892247
-1.35,0.42890954
-1.36,0.42889655
-1.37,0.4288835
-1.3800000000000001,0.42887032
-1.3900000000000001,0.4288571
-1.4000000000000001,0.42884386
-1.4100000000000001,0.4288305
-1.42,0.4288171
-1.43,0.4288036
-1.44,0.42879003
-1.45,0.42877644
-1.46,0.4287627
-1.47,0.42874897
-1.48,0.42873514
-1.49,0.42872125
-1.5,0.42870733
-1.51,0.4286933
-1.52,0.4286793
-1.53,0.42866513
-1.54,0.42865092
-1.55,0.42863667
-1.56,0.42862236
-1.57,0.428608
-1.58,0.42859355
-1.59,0.4285791
-1.6,0.42856452
-1.61,0.4285499
-1.62,0.42853525
-1.6300000000000001,0.42852053
-1.6400000000000001,0.42850578
